"","Angola","Benin","Burkina Faso","Central African Republic","Cote d'Ivoire","Cameroon","Congo","Djibouti","Algeria","Egypt","Ethiopia","Gabon","Ghana","Guinea","The Gambia","Guinea-Bissau","Kenya","Lesotho","Morocco","Madagascar","Mali","Mozambique","Mauritania","Mauritius","Malawi","Namibia","Niger","Nigeria","Rwanda","Senegal","Chad","Togo","Tunisia","Tanzania","Uganda","South Africa","Zambia","Zimbabwe","Albania","Argentina","Antigua and Barbuda","Australia","Austria","Belgium","Bangladesh","Bulgaria","Bosnia and Herzegovina","Bolivia","Brazil","Barbados","Canada","Switzerland","China","Colombia","Cuba","Germany","Dominica","Denmark","Dominican Republic","Spain","France","United Kingdom","Greece","Grenada","Croatia","Hungary","Indonesia","India ","Ireland","Iran","Iraq","Iceland","Jordan","Japan","Cambodia ","South Korea","Kuwait","Laos","Saint Lucia","Sri Lanka","Luxembourg","Mexico","Myanmar","Montenegro","Mongolia","Malaysia","Netherlands","Norway","Pakistan","Peru","Philippines","Portugal","Paraguay","Romania","Russia","Saudi Arabia","Serbia","Slovakia","Slovenia","Sweden","Syria","Thailand","Trinidad and Tobago","Turkey","Ukraine","Uruguay","United States","Venezuela","Vietnam"
"Cheese","0.876712329","0.082191781","0.219178082","0.02739726","0.109589041","0.02739726","0.191780822","0.493150685","1.205479452","3.97260274","0.383561644","0.712328767","0.164383562","0.164383562","0.328767123","0.136986301","2.136986301","0.082191781","4.383561644","0.02739726","0.054794521","0.082191781","0.821917808","6.821917808","0","1.753424658","2.465753425","0.191780822","0.383561644","0.410958904","0.082191781","0.136986301","4.849315068","2","0.712328767","1.506849315","0.246575342","0.657534247","4.630136986","1.890410959","9.424657534","13.5890411","38.05479452","65.64383562","0.520547945","2.931506849","4.739726027","0.438356164","1.506849315","6.767123288","25.34246575","14.32876712","0.630136986","1.205479452","0.575342466","35.15068493","0.191780822","28.43835616","1.616438356","8.301369863","33.06849315","7.698630137","6.98630137","2.082191781","4.136986301","31.64383562","0.301369863","9.068493151","11.80821918","7.479452055","0.739726027","42.93150685","1.479452055","1.671232877","0.876712329","6.438356164","5.917808219","0.191780822","3.232876712","0.273972603","44.93150685","0.876712329","2.520547945","5.506849315","11.04109589","2.054794521","17.67123288","27.26027397","14.21917808","0.575342466","0.164383562","12.65753425","0","3.917808219","13.94520548","9.97260274","1.095890411","18.65753425","34.2739726","45.01369863","2.02739726","0.684931507","3.150684932","7.917808219","3.095890411","4.849315068","6.575342466","0.328767123","0.383561644"
"Yoghurt","54.8997394","9.365946375","35.39061793","19.20647789","2.220447126","339.9171194","7.625267125","12.04888267","5.998228855","22.19903605","51.77104215","4.537590793","21.51219533","10.54863692","39.45266274","10.66698633","39.08392558","60.7251013","34.60324023","41.17433196","8.677718755","54.0894245","58.12483005","1.311226879","6.08194989","42.17544991","52.11398265","24.90247609","44.36885387","33.75819067","6.42097337","9.30148681","8.207514835","37.67499198","13.58938004","5.103179335","66.3138617","30.28078538","109.7994788","56.88492374","18.73189275","70.78123586","88.75090963","38.41295577","4.440894251","679.8342388","96.93669105","15.25053425","16.72136207","24.09776533","11.99645771","44.3980721","103.5420843","9.075181585","43.02439066","21.09727383","78.90532547","21.33397266","78.16785115","7.947423395","66.33785125","121.4502026","69.20648046","82.34866391","17.35543751","108.178849","116.2496601","2.622453758","12.16389978","84.35089982","104.2279653","49.80495217","88.73770773","43.99710805","67.51638134","0.758627633","32.15377926","103.8642957","12.84194674","18.60297362","16.41502967","75.34998396","27.17876008","10.20635867","132.6277234","60.56157076","9.72088462","227.0593701","73.68867481","9.153580499","13.04087441","6.188634917","116.9776024","13.75146861","102.6383776","110.3592826","85.56457268","81.62609184","56.17920293","118.4195042","131.8518663","61.86393466","7.453927355","22.78535352","197.4675398","92.11473697","28.42249925","23.94050573","17.58196064"
"Total Milk","18.57534247","31.39726027","47.28767123","40.82191781","3.095890411","24.63013699","3.068493151","57.83561644","190.1369863","84.68493151","76.38356164","19.39726027","5.561643836","41.47945205","69.97260274","48","208.2191781","139.890411","77.06849315","54.73972603","119.3150685","16.68493151","221.0958904","46.63013699","27.50684932","139.2876712","108.1643836","3.342465753","40.57534247","32","55.67123288","4.356164384","251.260274","79.75342466","110.2739726","126.4383562","19.50684932","69.56164384","868.3561644","442.9863014","121.9452055","601.2054795","505.4246575","504.7123288","47.97260274","389.4246575","531.9452055","114","387.6712329","61.97260274","455.8082192","789.5068493","61.56164384","302.3835616","234.4931507","468.8219178","183.3424658","677.369863","231.4794521","425.5342466","495.5068493","568.8493151","664.5753425","78.54794521","592.1643836","441.2876712","12.95890411","205.890411","881.7808219","54.19178082","79.91780822","557.9178082","122.1369863","130.3835616","8.712328767","28.84931507","105.6438356","8.136986301","80.87671233","44.79452055","262.3561644","251.3972603","46.54794521","970.2191781","473.0136986","13.78082192","794.9041096","470.4383562","307.0136986","150.8767123","2.547945205","394.3561644","120.3835616","647.1780822","378.1369863","111.1780822","443.9452055","454.2739726","380","484.630137","233.6712329","42.82191781","76.24657534","478.739726","434.0273973","526.2739726","629.7808219","254.1643836","20.87671233"
"Fruits","177.8082192","129.4246575","12.63013699","125.2328767","26.68493151","175.5890411","94.79452055","81.53424658","277.0136986","375.8356164","23.78082192","73.17808219","179.9452055","108.8493151","14.60273973","80.79452055","194.630137","42.98630137","273.6164384","133.3972603","183.7534247","109.6986301","41.36986301","113.5068493","425.9452055","77.89041096","71.78082192","61.7260274","320.0547945","50.68493151","20.71232877","23.53424658","229.3972603","199.6986301","9.150684932","64.08219178","19.89041096","48.32876712","480.1917808","218.109589","357.0684932","195.3424658","262.8493151","335.3972603","83.7260274","157.0136986","292.0821918","179.8356164","348.4109589","202.630137","263.6164384","228.2465753","263.6438356","255.1780822","260.630137","213.3424658","1078.931507","168.3561644","775.260274","286.4931507","226.2465753","211.5890411","337.260274","319.7260274","222.0273973","169.6164384","226.1917808","219.4520548","181.8082192","400.5479452","205.9726027","220.7123288","116.2191781","91.7260274","71.7260274","143.7808219","193.3972603","463.260274","211.9726027","216.7123288","239.7534247","318.0547945","99.67123288","343.0684932","34.4109589","136.6027397","266.8219178","214.1369863","113.8356164","335.7260274","195.7534247","367.9726027","209.4246575","286.4109589","172.0273973","207.3150685","284.9589041","141.4520548","350.4931507","160.630137","305.9178082","351.7534247","143.6438356","352.5205479","182.3835616","221.4520548","285.4520548","192.739726","233.4246575"
"Refined Grains","775.0135103","510.3674599","263.304376","235.7134839","574.2868638","384.58269","821.8662314","277.9410986","391.2681951","412.0542753","402.8683993","417.7650671","783.4679027","518.750327","240.6153271","172.7341241","371.9779276","302.3843813","288.2541825","417.1901148","347.219105","322.4754422","373.7900551","281.5708519","521.6261142","309.6407284","407.5256726","323.0095669","326.0138099","432.2246801","212.4322254","559.436784","487.8286207","462.084572","392.0738528","156.6676557","489.0940395","345.2712763","343.1757215","322.411742","198.7345239","149.7753507","142.7390735","161.7873869","318.2329977","261.3364691","360.0882409","307.4818008","359.3990862","173.8035307","192.2522461","184.4970306","329.9997166","275.6873205","388.8082047","229.9812208","127.9815563","90.71842871","194.9767963","240.9921895","303.5846678","240.2944718","136.7596227","184.8565453","228.5671804","165.9401184","490.6235549","253.971848","253.3815118","432.32676","421.1631909","125.0636513","304.8915111","240.3766036","580.8095223","267.7605502","323.2013478","389.2754261","192.9352995","342.5549107","278.5357389","398.4726784","249.155965","114.1062448","233.8649358","275.5805682","137.2427524","106.8194735","302.7564857","337.0712327","334.217325","280.0192891","601.0810396","451.1762217","142.0222787","393.9382718","258.5183695","140.6139527","295.3939491","157.4559337","367.7367713","245.9427009","258.9600832","534.3465687","281.8555167","367.0759851","240.7528175","257.5028334","320.1788162"
"Whole Grains","70.89950343","39.8688415","151.4728843","244.9445983","29.96902661","142.8264881","74.80897407","109.5112302","191.0597501","194.772437","7.895710279","31.94849453","93.7389466","113.880221","22.6022071","96.21601285","14.58166149","119.1213721","427.9154065","24.65111805","85.98925114","271.3362017","26.86131481","101.4922988","171.4653927","34.89351822","8.215971281","234.281392","17.4250942","14.62079936","90.44626771","34.85527076","77.02603684","22.77761983","17.93066773","291.7079608","243.8159605","8.88625791","30.97619626","16.84853199","17.65657197","87.39149859","165.1270909","161.8923392","3.344810546","107.9239419","95.98764947","24.69874715","9.077352179","74.99167474","88.46816482","96.82488725","4.024940919","19.6218576","39.10837065","71.91946412","17.15008752","216.2021192","4.977039267","50.84315292","70.48724998","94.19155563","197.4994184","15.60386566","71.87802507","151.0608405","25.27480131","69.13157668","82.8980772","45.25871943","8.073521413","98.92977336","15.9032834","2.292437478","15.51814894","7.3253402","15.97070695","0.392519119","84.2227827","11.13330849","43.39152136","21.19239009","2.512391207","243.6623853","112.707119","4.356144143","117.6560148","213.4869649","61.15693893","24.37904127","25.34089415","59.43701227","127.9164946","7.573367334","258.4544336","18.35405697","138.9347812","112.5605679","91.31851665","134.2509156","8.37487251","3.135929197","69.82416339","8.452746409","110.6794149","39.24826145","43.19649758","13.81497478","6.67762212"
"Nuts And Seeds","10.2739726","29.15068493","48.30136986","41.04109589","13.80821918","37.34246575","8.109589041","1.369863014","5.178082192","4.657534247","4.547945205","37.53424658","23.23287671","18.90410959","53.26027397","16.05479452","4.520547945","2.493150685","10.57534247","1.178082192","18.73972603","8.684931507","1.945205479","6.684931507","4.383561644","1.589041096","45.5890411","35.47945205","3.397260274","22.90410959","51.42465753","15.31506849","19.34246575","25.67123288","20.68493151","2.98630137","20.71232877","9.01369863","12.49315068","1.178082192","5.095890411","21.15068493","21.89041096","8","2.876712329","10.73972603","7.643835616","24.24657534","8.739726027","11.7260274","20.38356164","13.89041096","25.28767123","2.493150685","0.849315068","14.08219178","2.904109589","9.561643836","1.534246575","37.15068493","14.10958904","10.68493151","41.94520548","2.630136986","9.698630137","2.136986301","16.54794521","9.945205479","8.328767123","28.68493151","5.616438356","9.945205479","12.21917808","6.191780822","7.534246575","20.84931507","9.561643836","14.76712329","5.095890411","8.493150685","8.739726027","9.780821918","29.15068493","9.178082192","2.273972603","7.068493151","10.35616438","10.21917808","2.02739726","2.849315068","6.520547945","12.82191781","4.410958904","8.602739726","5.863013699","6.136986301","9.397260274","10.35616438","10.82191781","10.05479452","25.97260274","4.136986301","8.684931507","34.54794521","7.452054795","3.890410959","24.54794521","0.191780822","32.46575342"
"Total Processed Meats","38.76540825","24.72827718","8.681587051","39.177788","1.796075848","11.61439847","12.63310195","8.500566063","20.03920788","29.91102754","0.94284938","83.1962926","8.077538945","23.1574444","11.38799791","16.90430019","17.61393665","40.94711826","6.785289326","10.18266644","22.706219","8.689643283","54.04647426","53.20421384","38.09923213","25.22272078","9.257461636","6.737795901","8.904151986","14.1092031","23.98042666","4.418922542","41.25818426","8.809041549","8.006413553","44.97116114","37.25615054","66.09715221","63.89686219","65.88999388","113.9779718","75.30254696","86.7355303","63.00224123","0.557441998","58.91988758","18.79716998","25.31606754","101.3778107","34.48059193","88.06556383","62.19843464","7.59318485","73.09290932","30.88694768","127.7902145","47.99912127","88.65324396","55.89965108","114.1339008","92.28506231","101.9254844","15.37469706","41.30462241","76.22681687","88.54278901","19.80585082","4.900638047","115.1142026","28.17295447","14.9010986","76.34057354","35.37194037","18.6919947","10.88051938","8.852642364","104.1840554","28.37567424","49.70187347","3.034513264","116.1356479","54.74598026","46.8499737","54.51606065","197.8096889","67.69399848","57.72094538","48.37485374","6.578843388","27.42116931","79.74455098","56.67136086","20.20867779","85.34213212","49.28183854","79.03216442","51.36959572","108.4964919","79.77304723","63.91063575","16.37330359","16.55338658","74.4015844","8.300230137","80.21900468","53.00320421","143.1650209","39.37008584","22.41137627"
"Unprocessed Red Meats","36.79623558","21.05254474","30.88005678","79.04139008","41.54638991","24.41299879","105.3668981","42.62272161","38.48134007","69.40404095","22.12564377","116.9132964","38.41561174","17.96584328","30.94076922","32.19159022","32.41346061","51.6282242","96.25580656","31.13240206","51.10200018","15.74871288","42.99462163","100.2752382","41.16104184","71.98275867","17.48226439","16.57727259","19.01365623","39.28805717","122.8140939","38.86874869","42.49524039","24.99917763","22.81550426","142.9740443","25.07261659","81.32750533","60.65108302","280.7127458","97.03572684","267.848138","166.9904971","127.1073478","12.8946128","123.8472357","105.0384465","211.1496859","192.6221893","172.8892711","169.1125184","144.3221133","178.1876371","102.7153099","146.8938742","99.14129237","130.4118376","168.8262081","102.8674722","193.8113047","143.112198","128.5128718","218.104755","126.2844187","171.554005","160.4709096","15.75579302","9.236348254","124.3652495","80.40238799","28.13999729","187.82381","75.53216922","124.6778683","30.29756281","224.0788645","96.19950625","57.3229559","254.5447019","26.69151413","119.6177768","155.3636088","133.5061907","173.3195558","133.1218179","83.29230289","116.4160409","153.3511737","45.85951278","123.5651321","47.24175039","227.4656254","112.6954318","118.1099227","170.7455587","51.59797257","121.5893084","63.0925492","120.3091446","137.5688163","48.17464162","69.69318876","147.8997855","104.3299068","65.5892145","105.1337821","205.2185407","68.24635251","146.4105415"
"Fish","43.01369863","45.53424658","24","20.32876712","66.79452055","47.50684932","79.28767123","12.35616438","11.09589041","69.09589041","1.452054795","81.83561644","68.95890411","28.1369863","58.82191781","3.287671233","8.164383562","8.657534247","50.30136986","8.602739726","24.73972603","33.42465753","20.90410959","53.20547945","32.60273973","29.09589041","5.479452055","23.67123288","13.83561644","42.49315068","19.04109589","33.61643836","33.26027397","18.49315068","31.7260274","19.45205479","38.43835616","8.849315068","17.56164384","12.38356164","112.7671233","48.54794521","31.56164384","52","66.79452055","17.75342466","15.09589041","6.876712329","22.60273973","109.8082192","39.67123288","34.65753425","64.76712329","18.24657534","13.91780822","30.60273973","74.68493151","50.71232877","20.63013699","76.98630137","64.54794521","39.94520548","37.34246575","70.38356164","39.67123288","16.4109589","106.5753425","17.42465753","59.5890411","31.12328767","10.35616438","207.3150685","14.02739726","85.09589041","107.9452055","101.7260274","34.05479452","68.16438356","78.1369863","78.93150685","60.79452055","29.26027397","124.7671233","30.79452055","1.534246575","132.7123288","47.09589041","109.2054795","4.438356164","61.47945205","63.5890411","122.4383562","10.95890411","20.32876712","50.02739726","28.57534247","16.30136986","26.19178082","24.16438356","66.19178082","4.383561644","60.52054795","58.24657534","11.78082192","29.26027397","21.8630137","33.64383562","23.20547945","74.21917808"
