"","",".1",".2",".3",".4",".5",".6",".7",".8",".9",".10",".11",".12",".13",".14",".15",".16",".17",".18",".19",".20",".21",".22",".23",".24",".25",".26",".27",".28",".29",".30",".31",".32",".33",".34",".35",".36",".37",".38",".39",".40",".41",".42",".43",".44",".45",".46",".47",".48",".49",".50",".51",".52",".53",".54",".55",".56",".57",".58",".59",".60",".61",".62",".63",".64",".65",".66",".67",".68",".69",".70",".71",".72",".73",".74",".75",".76",".77",".78",".79",".80",".81",".82",".83",".84",".85",".86",".87",".88",".89",".90",".91",".92",".93",".94",".95",".96",".97",".98",".99",".100",".101",".102",".103",".104",".105",".106",".107",".108"
"2010","Angola","Benin","Burkina Faso","Central African Republic","Cote d'Ivoire","Cameroon","Congo","Djibouti","Algeria","Egypt","Ethiopia","Gabon","Ghana","Guinea","The Gambia","Guinea-Bissau","Kenya","Lesotho","Morocco","Madagascar","Mali","Mozambique","Mauritania","Mauritius","Malawi","Namibia","Niger","Nigeria","Rwanda","Senegal","Chad","Togo","Tunisia","Tanzania","Uganda","South Africa","Zambia","Zimbabwe","Albania","Argentina","Antigua and Barbuda","Australia","Austria","Belgium","Bangladesh","Bulgaria","Bosnia and Herzegovina","Bolivia","Brazil","Barbados","Canada","Switzerland","China","Colombia","Cuba","Germany","Dominica","Denmark","Dominican Republic","Spain","France","United Kingdom","Greece","Grenada","Croatia","Hungary","Indonesia","India ","Ireland","Iran","Iraq","Iceland","Jordan","Japan","Cambodia ","South Korea","Kuwait","Laos","Saint Lucia","Sri Lanka","Luxembourg","Mexico","Myanmar","Montenegro","Mongolia","Malaysia","Netherlands","Norway","Pakistan","Peru","Philippines","Portugal","Paraguay","Romania","Russia","Saudi Arabia","Serbia","Slovakia","Slovenia","Sweden","Syria","Thailand","Trinidad and Tobago","Turkey","Ukraine","Uruguay","United States","Venezuela","Vietnam"
"Cheese","0.136986301","0.082191781","0.164383562","0","0.082191781","0.054794521","0.383561644","0.520547945","1.534246575","5.945205479","0.602739726","0.767123288","0.273972603","0.136986301","2.164383562","0","2.054794521","0","4.520547945","0.02739726","0.02739726","0.02739726","3.616438356","3.506849315","0","0.876712329","2.246575342","0.273972603","0.630136986","0.383561644","0.054794521","0.02739726","3.698630137","1.753424658","0.054794521","1.123287671","0.246575342","0.821917808","3.369863014","2.739726027","3.424657534","10.65753425","33.20547945","44.10958904","0.520547945","2.082191781","3.452054795","0.136986301","1.260273973","8.438356164","30.02739726","15.50684932","0.246575342","1.287671233","0.821917808","31.7260274","0.575342466","33.5890411","0.794520548","8.739726027","34.57534247","9.890410959","11.06849315","4.082191781","3.589041096","20.02739726","0.301369863","7.561643836","23.45205479","9.01369863","0.684931507","34.4109589","1.342465753","1.835616438","0.082191781","3.945205479","5.917808219","0.054794521","2.931506849","0.191780822","13.91780822","1.726027397","1.534246575","5.095890411","11.45205479","1.315068493","3.671232877","27.69863014","11.17808219","0.410958904","0.684931507","9.890410959","0.356164384","2.246575342","11.8630137","6.520547945","0.575342466","10.08219178","25.80821918","46.68493151","2.164383562","0.602739726","1.369863014","5.726027397","4.98630137","6.273972603","5.452054795","0.849315068","0.547945205"
"Yoghurt","54.8997394","9.365946375","35.39061793","19.20647789","2.220447126","339.9171194","7.625267125","12.04888267","5.998228855","22.19903605","51.77104215","4.537590793","21.51219533","10.54863692","39.45266274","10.66698633","39.08392558","60.7251013","34.60324023","41.17433196","8.677718755","54.0894245","58.12483005","1.311226879","6.08194989","42.17544991","52.11398265","24.90247609","44.36885387","33.75819067","6.42097337","9.30148681","8.207514835","37.67499198","13.58938004","5.103179335","66.3138617","30.28078538","98.95946869","55.66881744","17.18325039","68.67568847","88.92718837","38.86492437","4.440696047","662.4223146","91.17968301","14.07407836","17.06251223","22.98533015","11.66780854","44.49862908","109.4460001","8.972398674","39.3516026","20.59661069","79.99846624","22.90608952","78.06436937","7.154307261","65.32387289","126.7505402","72.63280931","84.46021456","19.03836803","104.5967313","111.8823584","2.547788229","12.61091271","79.09652201","111.1833887","51.78612511","79.53911355","51.57181882","67.24888515","0.771413051","30.1025797","93.49152725","11.35655558","21.01451079","14.54778845","76.65251798","26.78828126","10.0266689","132.4849645","54.97806927","10.30992079","222.551181","77.72515024","9.311068866","12.43559676","6.188788024","117.5618834","12.61594814","97.17579413","110.933458","82.40887106","77.42117804","59.89997924","119.2441489","131.1512426","58.98318279","7.759921521","22.80515623","189.3962668","96.87852287","25.90366332","23.20429817","24.93684909"
"Total Milk","21.45205479","34.08219178","42.57534247","35.89041096","3.808219178","29.91780822","3.01369863","55.28767123","230.1643836","108.7123288","119.6712329","37.26027397","6.383561644","39.20547945","81.09589041","54.10958904","240.2465753","133.1506849","58.76712329","65.94520548","292.3561644","10.2739726","230.8767123","46.71232877","8.02739726","153.5068493","105.4794521","3.561643836","48.65753425","30.19178082","48.21917808","2.547945205","201.5068493","70.32876712","100.4383562","145.7534247","21.45205479","79.89041096","783.1232877","510.0547945","126.630137","549.1780822","398.2739726","161.7260274","50.63013699","325.6438356","481.7260274","98.08219178","376.4657534","73.7260274","403.5068493","699.9726027","72.54794521","301.8082192","232.1917808","399.7534247","214.9589041","532.8767123","134.739726","431.3150685","551.4246575","590.0821918","709.4794521","57.69863014","497.0958904","391.6986301","13.78082192","130.630137","584.6027397","64.82191781","53.50684932","440.0547945","115.5890411","128.3561644","4.904109589","23.31506849","91.78082192","2.739726027","80.68493151","21.31506849","277.4246575","242.2739726","37.36986301","803.6438356","140.9315068","13.8630137","763.5342466","474.8767123","232.7123288","140.8767123","1.808219178","322.7671233","190.8493151","623.4520548","426.9041096","111.1506849","392.8219178","354.5205479","393.3150685","633.6164384","221.5616438","31.97260274","70.19178082","341.0410959","463.8630137","433.3150685","598.1643836","372.6027397","8.164383562"
"Fruits","111.4520548","124.8219178","15.94520548","111.0684932","27.06849315","194.9041096","110.739726","50.35616438","246.4657534","367.9726027","19.15068493","68.4109589","176.2465753","114.8219178","18.82191781","73.78082192","211.2876712","48.93150685","198.2739726","141.5890411","205.1506849","84.71232877","27.45205479","104.3561644","133.2876712","67.39726027","77.61643836","70.63013699","440","49.39726027","24.52054795","25.45205479","214.9315068","235.890411","61.61643836","78.21917808","23.94520548","40.08219178","383.8356164","192.109589","341.0958904","221.6438356","229.8630137","155.1780822","77.5890411","97.80821918","246","128.0273973","441.1232877","163.0136986","260.5479452","222.4931507","198.3835616","189.0958904","302.8493151","166.4109589","1035.013699","217.5342466","467.890411","206.5753425","202.8219178","229.5342466","320.4383562","357.5342466","270.2739726","167.8630137","200.0821918","179.7534247","146.0273973","438.2465753","120.2465753","211.1780822","130.0273973","94.49315068","71.04109589","152.6575342","147.7260274","271.2876712","177.9178082","248.6849315","262.4383562","287.5342466","82.65753425","333.5342466","31.09589041","133.9726027","242.3835616","220.6849315","119.3150685","346.6849315","345.6712329","286.8493151","218.4931507","182.109589","143.7260274","198.0821918","167.4246575","132.0547945","295.890411","197.1506849","196","365.5890411","176.3561644","336.9315068","107.5616438","229.3424658","232.2465753","166.109589","233.369863"
"Refined Grains","840.0341229","504.7237538","239.784419","263.8027599","496.1678372","351.862782","745.5978979","255.2694593","383.4895238","435.0446869","401.6525776","439.7383281","691.3107994","385.9474816","341.9969569","185.2571938","332.9238164","418.1973244","276.4520232","538.7133276","313.8250497","456.7094579","305.6889667","296.5756501","562.2331209","254.6020828","411.6404037","318.9197228","331.9039637","348.4243131","223.3349044","533.1091117","482.6154011","458.4281545","416.2270242","156.7358789","368.6880455","384.4766502","357.8653945","332.9748029","161.1797982","139.5640672","136.1744319","162.7399372","300.4024214","277.8813813","344.1736162","299.4720299","395.8483843","162.9842312","216.801951","172.294288","327.752851","285.7652461","328.3850911","229.70965","138.8545256","113.5551939","214.1007996","225.26802","275.6020207","216.2931197","142.3192514","243.5855084","239.4731318","164.5221759","556.2641762","260.7124","271.0970019","422.0155615","420.0051605","111.6041779","345.8138146","242.0582299","570.1109865","296.3459213","305.5781344","359.5897085","197.6634514","295.7281848","273.866063","401.1152585","257.3358163","100.0620061","240.5707666","269.5230407","129.6106298","102.6698295","314.8323109","339.8488729","301.032428","274.1338819","572.8437918","473.2302169","143.9457973","360.2121962","245.1924667","173.3017689","277.2807247","143.456838","505.2560188","237.1488696","244.6571815","568.0141707","282.2975377","360.9528754","234.1872625","343.1128246","296.9372879"
"Whole Grains","77.43108255","39.32857494","139.7428413","272.1606648","24.31956001","132.7816016","67.16689661","100.9101298","187.1602022","200.9280528","7.906874427","33.9859185","81.89385812","82.0979979","39.84934443","116.4617103","13.34988226","166.288018","410.7922233","35.22311074","81.25686807","406.2376654","20.93322505","91.85941841","184.6503038","28.54846514","8.473431903","224.5869895","17.80302256","11.70349509","95.89824631","32.60006637","76.24322908","23.21239343","19.07831827","291.595354","182.9923655","9.893486801","32.51912601","17.55670394","13.95020178","78.80017941","157.6009105","163.1829395","2.673468999","115.3101255","91.74487696","24.19331259","10.01449237","70.07549479","100.3658573","89.55612299","4.024409293","21.59269908","33.25312805","71.99240475","18.71328265","270.7715185","5.637967508","47.28348681","63.71702042","83.81331868","205.1991048","21.71202589","75.36782712","152.3141255","30.30787862","70.31664105","88.96395697","43.97375358","8.054839463","88.33500023","17.99919912","2.320811153","15.41531488","6.953119809","14.30392044","0.328236683","83.72558968","8.239212498","42.80722466","21.33213875","2.662402914","213.1834734","117.373891","3.483534603","112.2090963","205.314417","63.4478261","25.11893534","21.29962675","56.92118657","121.0104548","7.964029721","262.3835178","16.54684491","131.5521909","139.0960393","85.67311092","121.7546688","11.39411818","2.191541312","63.45432534","9.018021078","110.6404075","38.54986433","42.06876494","19.15265483","4.166547725"
"Nuts And Seeds","8.136986301","43.39726027","46.76712329","25.17808219","17.39726027","47.28767123","11.50684932","0.575342466","6.520547945","7.506849315","4.219178082","32.49315068","25.53424658","25.39726027","10.76712329","16.98630137","4.301369863","0","8.219178082","1.232876712","28.68493151","11.97260274","2.383561644","7.534246575","5.424657534","0.520547945","43.36986301","35.28767123","2.821917808","29.8630137","50.90410959","20.21917808","17.64383562","20.46575342","25.5890411","0.739726027","23.04109589","8.98630137","10.93150685","1.205479452","5.205479452","17.61643836","17.39726027","10.02739726","2.657534247","11.23287671","6.383561644","19.47945205","8.273972603","12.90410959","17.83561644","13.17808219","18.46575342","1.589041096","1.232876712","14.32876712","32.95890411","7.589041096","0.273972603","24.54794521","11.78082192","9.753424658","32.35616438","3.150684932","15.26027397","2.246575342","18.1369863","5.205479452","9.534246575","21.56164384","1.506849315","8.849315068","10.32876712","6.109589041","9.589041096","17.20547945","13.56164384","12.05479452","3.945205479","3.97260274","4.356164384","8.438356164","29.39726027","8.246575342","4.684931507","7.753424658","8.712328767","11.26027397","2.164383562","1.835616438","7.178082192","10.95890411","5.369863014","4.438356164","5.726027397","4.438356164","9.917808219","9.97260274","10.49315068","11.42465753","31.64383562","5.534246575","6.273972603","27.75342466","5.506849315","3.04109589","22.24657534","1.068493151","8.438356164"
"Total Processed Meats","34.49249886","36.41908447","11.74178636","34.31120761","1.700708988","13.72530435","5.919108365","10.29543371","19.81404824","23.51625613","1.127612025","69.99469031","6.3306581","18.06620079","6.943361829","17.71555567","18.14447691","28.21097701","6.357713263","11.1009971","22.55450707","7.442698955","55.20613887","47.55328431","11.31256149","24.62556505","10.23442736","7.759153917","8.213839909","12.97988772","19.31234435","3.772864879","38.3834727","7.3170726","9.970653678","41.9621578","35.9787968","80.27223373","73.30007398","53.92135852","120.6224939","78.05612513","102.7976655","68.78584516","0.517705807","54.51259874","13.78181888","21.89307475","88.6807855","31.80651246","87.56833629","67.02545564","7.012022346","57.46512818","23.33775689","136.6921768","51.86882929","85.67235174","49.44635228","104.7412087","105.3888537","97.56296216","15.09325459","38.29303804","54.05158963","74.24189626","17.44074536","4.283309611","123.2924339","26.87911705","17.62332348","70.23617796","37.13704214","16.95602882","11.87952914","6.604600155","135.2370005","21.42689979","39.98080466","1.99131193","126.8787014","52.3759626","28.67363574","50.35327824","146.0441101","69.29084475","69.44494483","48.87417316","5.980766717","20.62931736","73.13788268","57.98828285","12.34349872","72.89592567","43.12084167","102.7517591","47.08947417","110.592624","99.66442324","71.8277678","16.49144712","15.94867265","73.17286708","6.717311035","81.21382886","66.09789741","135.5429134","75.69319966","21.13841592"
