"","Albania","Algeria","Angola","Antigua and Barbuda","Argentina","Australia","Austria","Bangladesh","Barbados","Belgium","Benin","Bolivia","Bosnia and Herzegovina","Brazil","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Central African Republic","Chad","China","Colombia","Congo","Cote d'Ivoire","Croatia","Cuba","Denmark","Djibouti","Dominica","Dominican Republic","Egypt","Ethiopia","France","Gabon","Germany","Ghana","Greece","Grenada","Guinea","Guinea-Bissau","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Japan","Jordan","Kenya","Kuwait","Laos","Lesotho","Luxembourg","Madagascar","Malawi","Malaysia","Mali","Mauritania","Mauritius","Mexico","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Netherlands","Niger","Nigeria","Norway","Pakistan","Paraguay","Peru","Philippines","Portugal","Romania","Russia","Rwanda","Saint Lucia","Saudi Arabia","Senegal","Serbia","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Syria","Tanzania","Thailand","The Gambia","Togo","Trinidad and Tobago","Tunisia","Turkey","Uganda","Ukraine","United Kingdom","United States","Uruguay","Venezuela","Vietnam","Zambia","Zimbabwe"
"Cheese","0.125445668","0.01248897","0.023753026","0.096364542","0.062818142","0.136009214","0.407166348","0.011922592","0.068267596","1.724007472","0.002731224","0.012305631","0.049104358","0.049139687","0.080758651","0.002241036","0.020224747","0.000719536","0.878739543","0.000274212","0.002690331","0.005934321","0.033599291","0.004392534","0.001172545","0.042253178","0.005910136","0.289231682","0.013585567","0.001978418","0.044663832","0.111519777","0.012508284","1.165026316","0.007186063","1.174045913","0.005699932","0.07342246","0.021628151","0.005090633","0.003818101","0.32237724","0.428501642","0.263723606","0.007114166","0.244820126","0.007393434","0.127736252","0.050705075","0.014282868","0.021951933","0.053162934","0.001757393","0.002745236","0.45979677","0.000278643","0","0.018990952","0.001514028","0.028956744","0.071026105","0.03002178","0.115931445","0.055786078","0.045220974","0.00088692","0.022515924","0.018213179","0.624058595","0.025184014","0.001953801","0.275526753","0.338352435","0","0.005926547","0.005076061","0.443394665","0.126378166","0.138999721","0.009054393","0.032894508","0.097985256","0.011951221","0.024377927","0.547530389","0.340395969","0.034761284","0.207548789","0.089578943","0.002324795","1.524956018","0.443733475","0.020113202","0.019308322","0.006332135","0.003096168","0.001369154","0.078399614","0.04840127","0.216241917","0.021611999","0.03120963","0.080153958","0.24076292","0.045804596","0.003209542","0.003517546","0.007948677","0.005906993"
"Yoghurt","0.150504962","0.008259562","0.075252481","0.025706489","0.213802471","0.092790528","0.126013903","0.01584603","0.032750819","0.098237456","0.035201989","0.021526583","0.133481845","0.060934284","2.067724448","0.048567891","0.210476455","0.869305482","0.048748524","0.025178696","0.026973665","0.139060241","0.034733093","0.027208531","0.003152725","0.023629699","0.058956145","0.028680803","0.036646829","0.109393206","0.238865436","0.0313346","0.188658758","0.2795749","0.006166954","0.086694923","0.087416451","0.096772509","0.115461956","0.038315944","0.040825345","0.147151825","0.06576482","0.009472597","0.423525495","0.35434704","0.14004131","0.017199423","0.164092956","0.327951623","0.053556542","0.039497103","0.305852004","0.249537359","0.022127144","0.055353634","0.008504486","0.07992032","0.026517386","0.244961861","0.001795448","0.305045807","0.180408415","0.013854002","0.047973434","0.075519897","0.034760382","0.059134656","0.039648557","0.070954","0.033873949","0.303795021","0.246069129","0.163191781","0.033357091","0.047759275","0.026227865","0.049521478","0.13644678","0.161646415","0.017543094","0.147802355","0.121938374","0.117941922","0.267460275","0.074942301","0.015908718","0.00324603","0.011096228","0.054700698","0.477731914","0.161267665","0.178476078","0.139237029","0.081624646","0.052986153","0.012497533","0.010095619","0.010837592","0.065103577","0.050683366","0.263446663","0.166300412","0.124770077","0.117868664","0.031605731","0.022836444","0.283744987","0.037196352"
"Total Milk","25.86597333","4.464286564","0.553309037","2.308517598","12.6905979","17.87388091","15.28867528","1.555761727","1.594390421","14.69047941","0.899463492","3.693886676","12.48971008","12.20948874","11.61573884","0.8951924","0.277456879","0.716900499","14.85192598","1.213638469","1.744450499","1.830724356","9.783774168","0.099511887","0.093648109","13.19987985","4.401650899","12.60607994","1.725117821","3.473441351","7.451173298","2.744004738","2.40565757","10.07431645","0.499039973","13.76001582","0.181219028","18.22850932","1.498818629","1.166210422","1.553064451","11.56181121","17.04049756","6.694566614","0.424069769","1.69809207","1.456617664","22.57495321","4.463311455","3.822028939","3.908464404","1.834294263","0.219812375","4.105811173","5.260982553","1.018724629","0.754480082","0.385856854","3.840674602","4.49517493","1.45623437","8.236738212","9.052822328","21.16049999","1.460070311","0.399047527","0.872999318","2.657828361","25.01192409","2.411081967","0.087573165","14.38438417","9.56839836","2.29861736","4.890457354","0.083285863","12.84240965","18.81532681","10.53107642","1.327795619","1.518972505","2.013318252","1.040486202","10.65925229","12.26220562","8.972503608","4.026614773","0.975054923","10.17735005","1.362621941","15.33144682","22.19728252","4.289246076","2.495721454","0.948271538","2.080850025","0.079397398","1.429917875","7.674248826","11.36865038","3.774916706","12.44115325","17.76486147","21.35263061","9.5616658","4.694164373","0.587052632","0.659296396","1.207799049"
"Fruits","2.0252163","1.320498801","0.749908928","1.22986986","0.949067354","0.807021399","1.151083251","0.378914582","0.837456228","1.488461677","0.563169725","0.799396606","1.392328921","1.564106994","0.649218415","0.043502648","0.319725039","0.779247744","1.191785052","0.517376552","0.095243053","1.200945224","1.158167198","0.429006693","0.116860026","0.950429364","0.770151503","0.704842316","0.337126855","4.27668614","3.494854099","1.670646349","0.106758266","1.017864851","0.302439912","0.966397208","0.813515301","1.452533859","1.112121278","0.466849644","0.366699062","0.740388309","0.951010068","1.001442491","1.040185743","1.841869632","0.711009491","0.748614704","0.440894221","0.517746352","0.575124175","0.816299457","2.054846272","0.194719047","0.920741897","0.55848287","1.834487726","0.613537183","0.828355884","0.186119632","0.509743293","1.453304075","0.14323417","1.029801324","1.08456526","0.486620176","0.432780049","0.270930659","1.220357455","0.307271093","0.269438679","0.936847114","0.501270264","0.894604686","1.520761722","0.902845453","1.714510783","1.20934663","0.76899093","1.471832588","0.739897649","0.603297972","0.231294458","0.945012215","0.620654138","1.495151524","0.285651973","0.681125551","1.27087592","0.953398586","0.725853419","0.978938933","1.147670963","0.889640067","1.329844033","0.066518113","0.081239313","0.62307677","0.988431889","1.538596752","0.043984071","0.784053754","0.950216618","1.343625769","0.963586819","0.670684395","1.017206369","0.094225829","0.203988135"
"Refined Grains","7.744678384","14.22524328","60.50571724","2.407362264","7.992740807","2.206807793","2.610657491","68.35021177","2.780990236","3.726611656","41.9483811","14.64034347","2.687997866","15.18740096","3.683799549","9.405361612","67.78422634","24.07800179","5.990138512","8.029750524","18.06882301","14.3980426","16.69953945","70.9778934","36.41917012","1.757972519","10.14122594","1.79001125","17.97365287","1.787395243","20.47194857","35.42387167","33.4220782","6.271047498","14.91221541","4.755247761","66.79092764","2.266765005","2.675414341","38.28512927","14.73183531","2.843441455","1.184075729","26.66059458","55.97441741","16.59233379","7.404765484","3.478447946","23.29395452","8.940919335","13.29169501","6.274437376","62.56578299","26.13464749","2.223045923","26.08878326","31.3025131","20.05808029","29.71661694","31.1244801","20.04539979","8.321487738","2.448106906","0.958403053","10.38867189","11.61461878","19.89559299","11.24320979","3.254509564","14.74211759","18.99074603","1.984475834","8.650468673","4.398750528","23.32327071","49.2834282","8.492188262","7.426772256","2.875443194","28.68901517","2.014316808","7.597080028","36.17110645","2.404446783","2.345145388","2.23951678","13.47005813","26.64508396","2.696459068","32.6813308","2.844451651","2.992504252","3.350690083","38.60081231","17.20490206","8.509437499","19.27663364","7.030809542","16.76264872","7.411859821","34.32905886","4.466646245","4.44304648","6.784839047","3.84566224","6.006657611","44.14370895","44.94171182","10.79247715"
"Whole Grains","0.033756592","0.210162854","0.077263379","0.017701116","0.063260621","0.360038772","0.688840371","0.011364519","0.268626571","0.622348867","0.149694209","0.02510105","0.105584972","0.035114159","0.393085882","0.151855018","0.015432873","0.549055647","0.397588289","1.009131939","0.367208531","0.016242756","0.019312555","0.254175236","0.125018101","0.080093687","0.03894792","0.87435223","0.398867181","0.017320146","0.004892077","0.197944964","0.030543183","0.312307956","0.114442231","0.318921561","0.421275918","0.682206472","0.015964098","0.453501185","0.094699343","0.569590155","0.415144377","0.242298107","0.0267503","0.183748742","0.007844624","0.289587525","0.008567812","0.015015703","0.014521837","0.013994117","0.001182","0.528234943","0.04872594","0.09969264","0.592279215","0.004634739","0.08452134","0.119014465","0.427747262","0.082871575","0.137644256","1.066612918","0.432158571","1.009009438","0.002615369","0.035699074","0.506397915","0.009155057","0.883381649","0.889928063","0.054837366","0.130346047","0.024298629","0.098475602","0.262842189","0.026012137","0.99251797","0.01844234","0.088555251","0.017541134","0.051244195","0.689688295","0.439846865","0.097696619","0.29010495","0.0333259","0.189068841","0.037371333","0.562554125","0.385582332","0.007973679","0.021506375","0.003323331","0.091211809","0.033867066","0.202824452","0.323228539","0.023910485","0.067014517","0.12056144","0.396977707","0.200245352","0.0369143","0.013209085","0.006967474","1.109216252","0.007786464"
"Nuts And Seeds","0.016479396","0.006891201","0.013552135","0.006543621","0.004357032","0.082916371","0.086645336","0.010662403","0.036992412","0.032669398","0.107811215","0.031054729","0.010172726","0.033837494","0.035403546","0.062023678","0.024853555","0.152494485","0.089289582","0.160892129","0.215532469","0.101171799","0.003316679","0.030057822","0.05465488","0.020495424","0.001067459","0.033830523","0.004515758","0.003736317","0.001910275","0.005965315","0.017608226","0.059047897","0.118410292","0.059651265","0.101770922","0.163338378","0.003348625","0.026323333","0.021357954","0.007521658","0.036096896","0.036440922","0.066584705","0.120225091","0.00695415","0.020258457","0.028663797","0.043682423","0.005681637","0.01075903","0.058282688","0.010560827","0.015113352","0.004168231","0.017069981","0.026193028","0.023332648","0.008140584","0.027310559","0.039365612","0.002973705","0.018013337","0.013605832","0.03145439","0.037516296","0.002023128","0.044934404","0.096340071","0.124878803","0.041427515","0.002028993","0.005725284","0.003624639","0.025532431","0.053403192","0.028800364","0.020480143","0.013669708","0.006478788","0.007580654","0.083924548","0.020285007","0.03732651","0.02609602","0.009851046","0.091577318","0.134549379","0.008607939","0.042882257","0.019341927","0.032502417","0.091772264","0.005402248","0.213085567","0.018962779","0.019400652","0.070204983","0.10563261","0.095757377","0.009599532","0.043652122","0.112348773","0.004695713","0.00023248","0.041813061","0.090975627","0.010142466"
"Total Processed Meats","2.741573774","2.204303532","1.66327771","4.214945439","8.574048092","9.868774653","6.962301001","0.059679384","3.662612985","8.391086285","3.217809341","0.903009971","2.067679942","13.03012253","7.295928517","0.321048139","0.326135011","1.546888139","12.73701405","5.134444673","2.751308707","0.984524492","8.851945747","1.352491822","0.144171836","7.436815003","1.080653769","3.370898873","1.052607615","1.699179398","1.982406853","1.066909624","0.121184733","13.29034001","8.837314112","17.98228467","1.168262855","1.893008451","1.466451419","2.967019392","2.047201973","10.10816992","9.622755961","0.108295641","0.681750738","3.23232343","0.463044757","11.51103494","2.536797918","1.061837257","0.616265719","2.766050828","2.886692256","5.761964951","8.65908293","0.387179727","4.690965171","8.070595662","0.805245887","7.783448389","7.263937649","7.605099529","15.34662618","4.457536682","0.240200727","0.896298641","1.708164022","0.895490444","8.139659297","0.90317335","0.769196302","4.933393451","0.143701605","0.702558098","0.943979592","10.73939436","8.250366561","11.02792218","5.74945471","0.306495906","1.695490643","2.427635179","0.311789031","4.461168168","13.26595988","7.929351421","1.347975188","1.283306004","11.77241192","0.275181936","9.004525093","7.969098773","0.514245377","0.264440356","0.584471786","1.476556027","0.137315977","2.573278965","5.200608539","0.85311205","1.086596351","3.084187375","13.91582188","21.68998185","1.79559113","1.332585942","0.774322463","5.400765072","1.754856651"
"Unprocessed Red Meats","0.613749457","0.300498652","0.372353938","0.886353239","2.826201774","2.738875487","1.65434725","0.139149276","1.574983296","1.278561915","0.211955959","2.319525271","0.820239408","2.065770573","1.25363232","0.282067639","0.323353649","0.245568262","1.866136072","0.808236068","1.306208311","1.859676124","1.128692069","1.13704287","0.411593217","1.878760623","1.407543451","1.593667155","0.431444602","1.196156052","1.103369693","0.762418501","0.237285766","1.564355263","1.065054458","1.095121785","0.423911603","2.086496726","1.158070501","0.161982449","0.353738821","1.491409924","1.987159009","0.099600048","0.170234586","0.855132047","0.238610801","1.011555428","1.452117628","0.803052212","0.31058718","0.942304816","0.58746907","0.570289046","0.821608547","0.29388024","0.393766651","0.847270517","0.548126604","0.469972955","1.064775005","1.734957552","1.262802569","1.315477457","0.882872043","0.128508228","1.203811187","0.660106055","1.310466165","0.191455687","0.154068478","1.553190651","0.483937359","1.059132374","1.365517728","0.514974001","2.493561435","1.200510523","1.598406381","0.205434401","2.329945149","0.445009903","0.423662281","0.988607948","0.599698073","0.979339491","1.525904222","2.575539434","1.581484633","0.270386373","1.524921212","1.301227505","0.411455865","0.265789333","0.530347486","0.322916958","0.329584369","1.342015872","0.44959582","0.86448193","0.265731171","0.439478043","1.364616989","2.392614757","0.951062877","0.618574483","1.190564299","0.288182078","0.796628828"
"Fish","24.87776546","11.12082621","71.06210471","46.04465931","9.84972149","9.097623458","8.01417796","77.66561929","44.82376135","14.19597612","79.01575373","1.547210731","12.97324307","13.34422034","24.76305288","23.36598942","175.9492754","85.38116354","13.22069607","37.34397656","36.54529861","175.1385597","4.138909957","154.6477111","111.6565303","44.72800058","5.750465383","7.511787409","20.09975647","31.13884358","16.08120798","274.9493353","1.315553324","9.37553285","79.65113683","9.215980489","162.2781997","54.31690147","29.29539904","5.769106492","6.162394749","16.00898748","10.34663982","20.81212589","313.1769444","19.7734281","4.782897733","2.890716094","104.0453573","12.60257368","0.132620264","28.81377061","201.676364","17.16403455","11.11476049","8.389004776","55.30586221","369.6548638","45.98197432","11.86829314","92.25062375","32.56609943","0.22730776","33.95147793","4.8636148","48.34208821","84.76988875","28.87593146","14.20822243","7.204867411","64.0358723","5.230292713","2.852101962","1.325666056","7.339527189","266.8942839","8.671667143","29.94834565","12.53369803","27.14184277","31.88809513","13.02116965","82.12658873","3.482370898","6.221702855","5.141721527","4.602356804","122.3679297","4.877832122","78.07311066","19.3244295","50.35007049","2.028353112","33.15166641","103.0069152","111.4180685","32.52347505","45.13165028","121.5212415","0.707268619","65.06983047","24.42200869","2.293713789","15.28712741","2.505663768","2.710806587","196.5291138","79.62469561","15.6850018"
