"","Fruits","Non-starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans and Legumes","Nuts and Seeds","Refined Grains","Whole Grains","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Cheese","Yoghurt","Sugars","Milk","Salt"
"Algeria",282.0897938,557.5243724,521.4494349,0,91.96013668,22.05170674,1182.33725,751.8363738,29.56213705,55.96863601,26.19753498,1.099649616,36.35056031,3.841580128,24.02956922,209.0219092,302.8180453,12.27992766
"Egypt",428.8135372,510.4953109,305.719034,9.37547922,16.36733573,20.33957307,483.0818954,986.6815854,154.7586003,77.15201737,83.14630243,1.615451554,10.13735972,5.565733747,90.14869237,147.74464,96.59302039,11.78020961
"Morocco",348.9692919,374.3085171,406.021993,7.49547727,95.47577756,47.69646497,863.9476965,2053.170691,37.73753248,129.6835082,120.6144453,3.875954397,47.62633641,18.67179876,141.2791579,146.9760258,156.9007821,7.023970821
"Tunisia",335.0275009,1014.277019,306.7021051,0.43073669,119.1176926,87.3288052,1115.534108,472.8186182,139.6510832,62.25654003,81.71554624,5.250257502,27.089542,18.7793222,34.76954938,213.3458655,531.876203,13.4352497
"Kenya",343.4868072,258.9455599,311.5242765,223.6602303,202.1016652,20.93871923,1090.589813,69.24972355,60.39819735,39.70769282,19.69879571,0.198310024,8.216537627,9.326615543,162.3070592,71.59371386,425.8459799,9.345661426
"Lesotho",48.06312727,80.9307159,171.6870009,3.503255502,12.16859247,2.944403172,351.3205079,133.7095894,47.4027568,56.77644179,9.775029722,0.092800915,1.533217019,0.096185481,73.73979448,105.0035404,176.8281586,6.653766822
"Zambia",22.69759931,74.70381843,21.44659239,31.72082347,15.35646907,31.05641849,570.062959,1483.828289,221.0598465,28.73464802,43.7943127,0.031214763,10.26612297,0.424665965,106.9050136,49.41946469,22.71950885,15.84044308
"Uganda",10.42073401,106.0299596,43.28833975,585.008117,52.09979274,29.2787341,474.069356,106.6114468,30.02471347,26.10433599,37.72653091,0,2.746926147,3.207117932,18.32047042,48.78246574,130.2649865,6.54057137
"Malawi",501.0708285,281.3459408,152.9685337,813.2221904,67.85784605,5.684230378,875.9894522,249.4672833,50.226157,52.82537313,42.64367397,0,5.732624511,0,25.08245796,46.52209576,36.86018904,7.803432734
"Ethiopia",27.01696215,175.2110396,24.02850335,56.64966695,75.68102158,5.894125279,485.720619,10.25005061,1.189623475,24.98998475,1.709631043,0,1.270585395,0.462247484,70.8633593,28.45117211,89.84138557,11.64684806
