"","Fruits","Non-starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans and Legumes","Nuts and Seeds","Refined Grains","Whole Grains","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Cheese","Yoghurt","Sugars","Milk","Salt"
"Kuwait",232.5734773,550.2363029,170.8648733,3.43231429,77.75501541,40.04454298,953.5680142,102.6945115,415.3921871,119.6756713,42.82301003,6.890267101,87.25746493,25.80817748,143.2920929,187.7768757,219.7750528,9.101534467
"Jordan",132.3495619,359.6001415,194.033617,0,21.44503275,17.295782,368.654327,94.55710616,132.647704,86.42005461,16.68046963,0.423527549,17.79113795,6.660937243,119.6313993,142.0261823,144.2785863,10.00606296
"Syria",414.5151892,418.6104213,260.2740045,0.996989752,119.4861857,108.297452,692.1748073,51.52285457,83.4515817,69.88628048,10.70310148,0,31.6164442,8.536734832,547.2135475,201.2239186,489.5555865,9.596317989
"Iran",442.3661534,369.9500339,107.8948725,0,14.97464788,34.28503148,513.0137702,56.72681847,39.79290878,92.42033335,36.32030151,0.767330314,25.68315376,8.93072902,100.7185661,160.8769454,64.06373966,6.975120905
"Iraq",300.8165235,384.8898275,158.9644859,0,57.02726221,25.35751426,963.0880285,49.55871281,50.43737616,41.22576674,25.44355559,0.403865962,38.32771307,2.86464237,441.5416188,136.4528439,169.1727057,6.446323991
"India",243.8976046,266.9276411,95.14881319,2.905403863,49.75108053,13.67392581,306.0305083,81.44318842,42.55553183,10.47037355,20.25473715,1.528659408,10.51084717,12.29662839,3.59346567,83.85346767,234.3222418,7.296618779
"Turkey",411.7666662,716.7595024,247.1447697,0,54.59350732,56.89817274,1023.726416,14.91375598,13.25696719,153.0030291,23.83022888,2.937214257,38.51670256,11.46686966,40.16054255,144.1091392,743.7774155,6.916043901
"Pakistan",131.2834311,83.93209857,157.476417,0.208449522,16.71126845,11.14934842,387.0278572,146.6559356,60.260713,53.17875791,5.907037344,0.255242354,11.47228233,23.48470087,110.5437204,127.445771,363.6199255,6.862659522
"Japan",96.94339197,275.3487202,60.82532316,21.16362496,30.59695084,6.689148876,276.4486142,3.071029046,22.62247649,130.5883897,93.16495464,44.57280187,56.89042547,2.148330661,59.2715708,190.0821352,140.4903969,9.860364992
"Bangladesh",93.97787921,111.4127406,187.8373614,7.725475075,23.79508952,3.923932209,372.1512252,5.520080931,0.89102214,14.60661234,76.87517034,4.256828546,11.7118037,0.877740847,6.210714993,142.2223182,54.6227965,10.41431089
"Indonesia",249.7030274,137.7176691,14.83631595,21.13811356,6.919361738,20.61525165,560.7370821,130.063441,60.62231008,17.73298363,121.7935499,16.53136102,47.29432946,0.507033987,159.5738799,132.5943871,14.60318802,2.812103019
"Mongolia",42.0047481,186.2947225,374.494803,0.41399293,6.570710726,10.022554,685.0218071,216.9199737,203.9028035,170.8050754,3.745236259,0.133758438,18.83770898,25.51170311,552.2929252,517.7463223,947.2688153,8.898470694
"Philippines",215.6770883,192.651352,9.371177119,102.8998709,4.195516811,8.315346463,382.150696,33.05316819,97.39529343,52.95888678,70.88177911,8.001303803,14.36471457,0.210245905,17.75591191,106.8828007,2.882112819,4.546767206
"Malaysia",154.6446888,216.5352884,147.4424136,3.024250869,9.770270163,9.347664964,477.5622534,24.9273538,93.64962788,100.3472762,162.6601363,28.94571376,58.79973281,9.882885274,259.0432993,231.0615075,18.22715076,6.983093135
"Laos",530.7548854,703.6064456,2.587861752,38.42065895,29.82366143,18.6935442,463.0102673,0.63862148,46.91668294,68.40490595,79.99064648,0,6.096371625,0.948472085,176.9513183,286.8828482,11.11560044,12.35015549
"Vietnam",272.0723592,517.774962,43.8461303,20.77669611,34.16517509,128.6623115,469.7887737,36.47318924,119.5796448,221.9151724,108.9981356,41.2012148,17.04315117,1.876023261,76.32945068,40.07111512,27.3873927,3.29104384
"Cambodia",81.84891874,123.4781431,0.790137614,7.374688908,33.69705549,11.29697763,676.9618277,94.44118566,64.55970112,34.72273427,122.9861668,8.303126998,3.632628127,1.50992343,108.8436034,139.2595149,10.14719637,6.226162789
"China",293.7897921,1166.611922,444.9575479,288.1811714,21.75169972,31.57617474,935.959907,4.969645015,9.616667815,206.8729068,76.22085011,48.3957259,108.702167,2.989346011,434.5806714,86.85305726,76.05998278,9.881814763
"Myanmar",117.2567709,273.1770353,77.88022618,329.3257903,174.1477124,133.3406725,701.7403467,14.37903036,135.4947729,174.7829148,226.0676489,0.397132453,52.41701519,12.32030513,117.8685986,171.6294267,95.58671187,5.783117918
"Thailand",472.5265863,183.6425441,32.58976481,2.37311673,28.95738841,18.59835273,700.4710838,17.83458874,82.13797254,111.1047302,144.6468363,48.06282383,66.64583391,3.306641234,263.4185205,211.6193715,71.20389793,10.54944515
"Russia",195.2093114,316.7431286,328.0173126,0,12.01438101,8.414102583,233.8503783,336.303969,69.10431826,205.0200402,67.58005252,6.73579932,92.13878737,51.01668539,433.3266352,292.6291727,505.3573413,7.505722765
