"","Angola","Benin","Burkina Faso","Central African Republic","Cote d'Ivoire","Cameroon","Congo","Djibouti","Algeria","Egypt","Ethiopia","Gabon","Ghana","Guinea","The Gambia","Guinea-Bissau","Kenya","Lesotho","Morocco","Madagascar","Mali","Mozambique","Mauritania","Mauritius","Malawi","Namibia","Niger","Nigeria","Rwanda","Senegal","Chad","Togo","Tunisia","Tanzania","Uganda","South Africa","Zambia","Zimbabwe","Albania","Argentina","Antigua and Barbuda","Australia","Austria","Bangladesh","Bulgaria","Bolivia","Brazil","Barbados","Canada","Switzerland","China","Colombia","Cuba","Germany","Dominica","Denmark","Dominican Republic","Spain","France","United Kingdom","Greece","Grenada","Hungary","Indonesia","India","Ireland","Iran","Iraq","Iceland","Jordan","Japan","Cambodia","South Korea","Kuwait","Laos","Saint Lucia","Sri Lanka","Mexico","Myanmar","Mongolia","Malaysia","Netherlands","Norway","Pakistan","Peru","Philippines","Portugal","Paraguay","Romania","Saudi Arabia","Slovakia","Sweden","Thailand","Trinidad and Tobago","Turkey","Uruguay","United States","Venezuela","Vietnam"
"Cheese","0.164383562","0.109589041","0.191780822","0","0.164383562","0.082191781","0.219178082","1.643835616","0.657534247","6.520547945","0.684931507","2.136986301","0.246575342","0.082191781","0.493150685","0","0.191780822","0","4.383561644","0.054794521","0.054794521","0.136986301","1.671232877","6","0.054794521","1.561643836","1.863013699","0.246575342","0.136986301","0.356164384","0.136986301","0.02739726","1.342465753","0.438356164","0.02739726","0.876712329","0.109589041","0.95890411","1.342465753","3.753424658","3.863013699","8.356164384","23.50684932","0.383561644","0.95890411","0.273972603","1.287671233","29.91780822","26.65753425","32.30136986","0.219178082","1.315068493","0.712328767","36.19178082","0.438356164","29.91780822","1.315068493","7.04109589","38.46575342","9.780821918","8.054794521","1.424657534","25.75342466","0.273972603","5.424657534","30.52054795","6.95890411","1.534246575","32.57534247","1.178082192","1.917808219","0.02739726","3.424657534","12.93150685","0.328767123","4.98630137","0.301369863","1.534246575","0.657534247","0.821917808","1.232876712","10.98630137","28.21917808","9.397260274","0.630136986","0.493150685","8.739726027","0.191780822","0.904109589","3.780821918","16.02739726","38.35616438","0.547945205","2.02739726","5.287671233","4.520547945","5.616438356","0.821917808","0.136986301"
"Yoghurt","54.8997394","9.365946375","35.39061793","19.20647789","2.220447126","339.9171194","7.625267125","12.04888267","5.998228855","22.19903605","51.77104215","4.537590793","21.51219533","10.54863692","39.45266274","10.66698633","39.08392558","60.7251013","34.60324023","41.17433196","8.677718755","54.0894245","58.12483005","1.311226879","6.08194989","42.17544991","52.11398265","24.90247609","44.36885387","33.75819067","6.42097337","9.30148681","8.207514835","37.67499198","13.58938004","5.103179335","66.3138617","30.28078538","89.14268699","51.7470902","17.6446522","65.89708266","86.13055299","4.235887068","654.8011782","13.11052095","15.36875459","23.21190813","13.04249972","44.26765217","103.6873268","8.639372079","39.8883595","21.27506718","77.50864405","21.56300588","82.67856922","6.083108735","63.94373483","125.3055256","72.27293183","88.17787453","100.4625369","117.2707824","2.36208825","11.51734627","73.44954706","114.6724786","44.02223313","78.65460884","51.00416875","71.35856607","0.748435259","27.24942416","95.01148347","11.04845447","21.60964286","74.93799139","27.2998727","120.3231458","52.38112746","9.349710099","228.7611018","78.87962223","8.97501794","10.84741102","5.958834444","118.6240329","12.85582798","106.5195869","94.51568956","112.9717351","54.22716685","7.615025893","21.56572243","100.0988848","23.26575693","24.30231687","19.54131352"
"Total Milk","40.52054795","24.38356164","56.2739726","47.64383562","16.2739726","39.17808219","43.26027397","192.630137","282.1917808","137.8082192","41.01369863","88.98630137","16.90410959","37.23287671","69.69863014","43.89041096","222.2191781","52.19178082","91.97260274","93.28767123","142.4931507","15.67123288","337.1506849","298.0547945","9.945205479","187.6986301","157.9178082","16.68493151","39.34246575","66.98630137","68.30136986","11.42465753","269.4520548","65.12328767","55.20547945","142.6849315","22.57534247","83.34246575","674.5479452","614.8767123","345.2328767","589.2876712","787.8082192","39.83561644","464.7945205","99.28767123","308","491.5616438","584.4657534","873.369863","23.31506849","344.3013699","252.4657534","618.3561644","426.7671233","641.1232877","167.8630137","460.2739726","723.9178082","604.4657534","715.5616438","262.3561644","439.1232877","20.79452055","168.9863014","855.6438356","163.5068493","130.0547945","652.2739726","204.4931507","223.8082192","8","76.76712329","483.4794521","8.602739726","296.1917808","89.34246575","290.3013699","39.69863014","400.5205479","138.2191781","967.6986301","722.630137","415.1506849","137.9452055","60.32876712","562.8219178","172.3561644","539.6438356","235.6164384","309.0410959","964.7123288","63.15068493","281.7808219","346.4931507","584.7671233","703.8356164","231.0958904","22.46575342"
"Fruits","63.56164384","61.12328767","21.7260274","119.5890411","35.31506849","183.0958904","131.6986301","26.1369863","112.0821918","406.4109589","14.65753425","72.68493151","101.0410959","97.28767123","17.69863014","88.38356164","166.7945205","46.73972603","184.8767123","149.0684932","67.78082192","43.5890411","28.19178082","104.4657534","116.1643836","81.5890411","18.93150685","82.32876712","750.9041096","37.15068493","28.76712329","33.97260274","227.3424658","92.73972603","77.17808219","122.109589","28.1369863","29.20547945","192.7945205","300.8493151","451.8082192","255.3424658","340.0547945","36.10958904","141.0136986","178.2191781","359.2328767","491.1506849","348.5753425","247.9452055","114.9863014","158.6027397","300.5753425","312.739726","1035.726027","285.2054795","314.3561644","294.5205479","268.1917808","235.3150685","452.0273973","430.0273973","185.6164384","165.0958904","136.5479452","183.1232877","427.7260274","124.7123288","272.9589041","152.8767123","136.2191781","78.54794521","190.7123288","276.109589","165.4794521","499.0136986","281.890411","295.4794521","73.64383562","29.39726027","186.6575342","330.4383562","297.5890411","242.2191781","126.5205479","256.2465753","321.9178082","230.6575342","141.5068493","241.9452055","181.8082192","271.6986301","520.2739726","182.5479452","320.1643836","221.7534247","343.4520548","234.0547945","184.7945205"
"Refined Grains","664.8671216","548.7288236","235.8184794","248.9830991","460.7432809","299.4869191","803.7652231","208.0081126","382.508946","394.104523","304.2383824","418.2472257","661.0668662","340.9471353","301.9353938","143.1724728","336.380534","405.6777998","273.0058388","482.8538577","251.280389","440.6392483","257.7500733","248.8245707","482.4644653","289.0109574","494.3470361","343.2475774","268.8114777","287.0176071","177.4499284","545.8695058","485.642658","620.4575445","390.8727355","161.6857549","387.335288","395.2972054","424.3765709","297.2735967","184.3856672","130.1425909","145.0317323","227.3104331","299.2843919","307.4710516","319.8359409","338.0980848","210.9236014","205.2105659","303.7740147","292.7647167","283.6165013","200.1435829","230.128941","84.52790644","162.8660931","212.3230893","250.1866707","206.6014249","155.03613","178.2261553","155.8860888","354.4291838","237.4654059","259.3709919","458.3654592","338.1189753","114.9204121","351.0674605","223.2598563","220.577455","278.5299522","292.2779978","236.556718","189.3249329","231.9505247","429.8377609","153.3201569","218.0761222","265.2895203","94.70801411","111.1807747","313.6940824","303.8034656","237.9065475","272.0206342","474.0850682","499.0590676","342.6890533","190.5925556","145.1499855","188.0898376","234.412566","613.0872658","305.7817382","253.6287305","320.222867","191.994026"
"Whole Grains","61.98767293","50.81336814","138.2109726","262.5449831","27.12219852","121.1528069","73.57683174","79.63325725","187.7663964","188.0745181","6.016412149","33.53537703","81.08012012","81.14313871","35.89803082","116.3246505","13.68631535","161.4926111","406.8356681","35.47148473","63.43111785","409.0908887","18.27444725","86.47584025","159.0806032","33.18972758","10.51501874","263.068587","14.8834538","10.00061207","76.74774285","33.73679559","76.6814516","32.72094866","17.9916481","325.2835602","193.4971777","10.18895902","39.34000446","15.95160879","16.48638762","77.9324776","170.2442951","4.191210776","123.9004026","26.55511282","8.07529193","147.7334221","100.3568096","106.4721738","4.455026403","23.20843399","28.1626768","63.11354043","32.09229191","203.827573","4.877194607","45.25293808","58.34716495","81.69515045","221.7312672","15.59466662","144.8477468","19.5217751","73.70253926","85.46256977","49.71193809","6.518832894","91.49246463","18.32952582","2.349184828","2.4863806","7.766212191","14.08624877","0.206569699","82.03684788","9.00920134","23.05429394","1.072034889","106.5945627","4.681301654","80.86678041","224.7358006","64.88084914","24.47269875","22.29920593","57.47073567","99.1461647","8.401754361","16.44957687","150.7652526","124.9882337","2.691806232","60.51346142","9.848350665","33.04826178","46.38017358","20.10425629","2.711042461"
"Nuts And Seeds","1.479452055","26.63013699","35.01369863","25.94520548","21.09589041","25.64383562","13.64383562","0.438356164","3.342465753","9.534246575","3.150684932","28.84931507","13.67123288","8.520547945","22.10958904","9.835616438","4.246575342","0.02739726","7.068493151","2.02739726","7.232876712","9.589041096","3.780821918","7.863013699","7.397260274","3.068493151","9.04109589","22.49315068","0.575342466","11.47945205","73.06849315","13.61643836","25.94520548","2.657534247","14.08219178","3.863013699","8.931506849","12.16438356","8.082191781","3.424657534","2.739726027","18.10958904","27.53424658","0.95890411","8.849315068","19.56164384","4.630136986","19.78082192","22.4109589","26.60273973","9.917808219","7.726027397","2.410958904","25.78082192","19.64383562","28.2739726","0.602739726","31.45205479","24.30136986","15.91780822","36.73972603","6.356164384","8.575342466","14.30136986","3.452054795","9.616438356","13.78082192","0.767123288","19.04109589","18.08219178","11.8630137","3.315068493","12.87671233","18.05479452","4.109589041","9.97260274","3.424657534","11.28767123","7.506849315","2.054794521","9.260273973","15.56164384","17.26027397","4.301369863","8.082191781","8.082191781","22.68493151","9.671232877","5.479452055","6.164383562","8.767123288","11.69863014","7.287671233","10.32876712","18.93150685","4.821917808","25.69863014","2.630136986","4.520547945"
"Total Processed Meats","25.82017946","23.70718136","9.980217801","32.51347829","1.645078321","14.32589682","4.640252445","9.165669303","18.69763169","20.98310153","0.948448248","61.96438003","5.335840399","10.86131969","7.304534579","15.90438065","14.69114212","23.61821056","4.17653411","12.27592015","17.64915464","11.90442163","54.91622272","35.33018127","8.05970621","35.7440361","23.33335617","7.711648893","4.404016292","10.22175207","7.398216736","2.838738215","39.05828762","8.237952956","9.052584924","29.88681103","24.26972092","20.61160034","45.17477234","55.95779735","106.5639282","75.08009633","102.320016","0.455263221","58.7344105","15.67478449","79.10133344","66.610545","102.5508339","66.24983175","5.426422914","45.09503319","15.40301475","144.2981862","53.74840176","88.12498458","41.69081829","123.1813479","121.8760012","100.5924915","18.54814133","36.65219723","109.7116173","15.19770987","4.273812251","146.1282682","18.64689871","6.848245186","72.02553386","33.20488474","17.50968049","13.67485103","5.483182156","120.650663","14.13340808","47.59385164","1.717226861","43.27423814","7.401484529","188.6225679","59.46409847","87.90729253","46.38414605","4.970223375","10.72764308","56.70723625","56.15770664","33.71862255","62.15058585","95.20988935","118.699978","64.84052941","14.40796672","41.03365667","4.700300598","76.4836604","141.6788789","56.46921172","9.732691155"
"Unprocessed Red Meats","24.50858766","20.1832296","35.49923425","65.59611075","38.05355182","30.11245935","38.70221331","45.95761837","35.90510803","48.68813135","22.2570312","87.07671586","25.37648837","8.426351543","19.84615035","30.28740018","27.03488527","29.77904971","59.24812342","37.53229903","39.72070838","21.57503043","43.68651701","66.58762695","8.707417077","102.0093886","44.0639041","18.97328261","9.404202887","28.46317944","37.8894545","24.96948096","40.22938361","23.3784854","25.79673014","95.01729856","16.33301881","25.3610024","42.88002218","238.398367","90.72374305","267.05689","196.9950525","10.53103815","123.4573703","130.7361744","150.2959268","333.9921947","196.9286181","153.722771","127.3407004","63.37072023","73.2545195","111.9483892","146.0324202","167.8202209","76.72014062","209.1748165","189.0007112","126.8321661","263.1230915","112.0601315","198.8363279","12.08996136","8.054954873","157.8717318","53.21611499","12.93257673","177.2073429","70.9047043","116.7916894","38.07857362","138.7907904","111.4041315","28.55152343","243.7486141","15.10469095","122.8079536","21.09166616","126.939076","73.16603852","177.2981869","147.0405115","34.64621498","48.34085007","33.59413361","225.4039372","188.0348021","86.01379771","62.15997366","69.02604935","139.5704295","60.66052643","81.56908306","59.08052132","151.7081204","203.0882444","97.88695266","63.58237734"
"Fish","32.65753425","19.45205479","6.328767123","11.89041096","36","34.79452055","54.30136986","6.739726027","10.16438356","39.67123288","0.657534247","124.5205479","84.82191781","28.16438356","62.46575342","6.98630137","16.49315068","1.863013699","21.67123288","17.89041096","27.34246575","4.301369863","23.5890411","53.06849315","13.12328767","33.75342466","3.369863014","17.7260274","2.383561644","85.28767123","24.16438356","27.45205479","26.2739726","20.52054795","20.82191781","15.8630137","19.56164384","5.561643836","7.97260274","18.32876712","74.82191781","42.2739726","23.53424658","31.97260274","8.575342466","6.95890411","15.04109589","191.3424658","39.64383562","32.46575342","41.47945205","12.68493151","28.65753425","32.52054795","108.8219178","30.21917808","23.42465753","72.05479452","56.16438356","44.16438356","46.95890411","50.68493151","11.09589041","51.50684932","11.26027397","54.68493151","12.60273973","2.602739726","206.630137","10.79452055","113.0958904","54.2739726","96.10958904","26.76712329","38.16438356","66.63013699","61.06849315","20.84931507","48.16438356","0.630136986","143.369863","56.19178082","110.7945205","6.219178082","50.19178082","69.53424658","126.6575342","14.98630137","6.849315068","17.28767123","18.79452055","59.83561644","71.34246575","34.2739726","21.83561644","10.57534247","38.1369863","34.46575342","45.20547945"
