"","Albania","Algeria","Angola","Antigua and Barbuda","Argentina","Australia","Austria","Bangladesh","Barbados","Belgium","Benin","Bolivia","Bosnia and Herzegovina","Brazil","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Central African Republic","Chad","China","Colombia","Congo","Cote d'Ivoire","Croatia","Cuba","Denmark","Djibouti","Dominica","Dominican Republic","Egypt","Ethiopia","France","Gabon","Germany","Ghana","Greece","Grenada","Guinea","Guinea-Bissau","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Japan","Jordan","Kenya","Kuwait","Laos","Lesotho","Luxembourg","Madagascar","Malawi","Malaysia","Mali","Mauritania","Mauritius","Mexico","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Netherlands","Niger","Nigeria","Norway","Pakistan","Paraguay","Peru","Philippines","Portugal","Romania","Russia","Rwanda","Saint Lucia","Saudi Arabia","Senegal","Serbia","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Syria","Tanzania","Thailand","The Gambia","Togo","Trinidad and Tobago","Tunisia","Turkey","Uganda","Ukraine","United Kingdom","United States","Uruguay","Venezuela","Vietnam","Zambia","Zimbabwe"
"Cheese","0.263427934","0.150714792","0.049879845","1.57682033","0.087656651","1.717822873","4.486860627","0.034435968","1.141953382","3.780847296","0.003811159","0.024094637","0.592583161","0.071245132","0.163095827","0.03667024","0.059238071","0.001577983","1.122519129","0.003463353","0.003850273","0.117279517","0.066276927","0.012686935","0.012921125","0.547700572","0.098513273","4.207604744","0.027436681","0.032048684","0.089791463","0.218357649","0.018135124","1.445084874","0.120205619","1.613841604","0.007281205","0.94339732","0.345571014","0.008037076","0.007531469","4.853501048","5.373481991","0.482427473","0.019892211","0.350374826","0.112387082","1.1840412","0.084284383","0.26132522","0.365906444","1.012519323","0.037210931","0.003773597","4.970596818","0.004053569","0","0.387730297","0.003043778","0.035917603","0.777839633","0.039351799","1.000887892","0.679350924","0.732541345","0.008254721","0.483356371","0.291007169","0.770325644","0.326444049","0.029415158","3.406060232","0.921363527","0","0.085519023","0.008248472","0.556050434","0.184104648","2.001512109","0.025317359","0.55456347","1.695446628","0.021862272","0.077250054","0.986377974","5.09342127","0.101815434","0.307395146","0.833726863","0.056572114","2.050923561","0.700565134","0.334917449","0.353272983","0.129727802","0.061189313","0.020812423","0.191072868","0.606959995","0.449873964","0.035924491","0.451506015","0.877802959","0.276450182","0.868290128","0.056886243","0.073601083","0.01177258","0.112502147"
"Yoghurt","2.184588765","0.120079264","1.092294382","0.384678679","0.376507883","1.575198067","1.781890803","0.031035849","0.499085483","0.37472336","0.061990988","0.30947987","1.940587264","0.114374317","4.321292215","0.72678273","0.54390737","3.315935533","0.073472371","0.427429762","0.038312696","2.171663035","0.059246347","0.053290312","0.044580887","0.347288097","0.892844838","0.457144767","0.076587409","1.609865813","0.643153785","0.450486171","0.354114548","0.393590716","0.093977415","0.128021245","0.131751558","1.426251293","1.64836676","0.072501601","0.069638273","2.187985591","1.079800084","0.017957072","0.797413965","0.503305373","2.206447904","0.247017647","0.296188689","0.59781556","0.811072061","0.716051499","0.88425156","0.368488514","0.35181888","0.882284359","0.125340703","1.294477169","0.071399016","0.34486184","0.027915338","0.466767313","2.759888345","0.20237457","0.705992569","1.115795381","0.589006588","0.84422268","0.05957468","1.042818187","0.503668317","4.812062931","0.552403103","2.376831833","0.062515143","0.088728883","0.036534878","0.09567519","2.165396433","0.304347932","0.265867517","2.356820883","0.231156897","1.73069114","0.61808291","1.1209211","0.041110865","0.004451706","0.163945141","0.158350472","0.737539804","0.305151398","2.734505953","0.253812015","1.316340788","0.827469235","0.196907289","0.154908114","0.177943655","0.200688092","0.091483755","4.131061923","2.585611593","0.161788718","2.01889617","0.513970475","0.381429404","0.389136668","0.674340692"
"Total Milk","39.70247544","11.18279618","0.849291003","9.143817174","21.20975017","27.62177679","22.76508694","2.017170408","3.286850306","23.61313606","1.503270066","4.801900035","31.28604763","16.83870813","17.82336297","3.545771387","0.374726773","1.152329243","19.14123183","1.875521665","2.430403381","2.808826284","12.78080242","0.129025177","0.139443562","36.26609195","17.71049271","51.57629631","2.647046519","13.78414923","9.799285133","3.567092768","3.317761008","33.03014362","1.028775427","21.88467206","0.233555933","32.88740384","5.836350483","2.004056157","2.028809082","22.83681495","24.90856075","8.653308185","0.539282509","2.365815889","6.247394818","41.15025185","5.188183128","5.328077531","15.72610639","8.116093671","0.410489058","6.53010376","17.59666575","4.167992235","1.3612134","0.673112171","5.050998551","14.73809903","2.039639005","10.46357288","34.9817795","50.95272563","5.794203793","0.933347165","3.529930706","10.34949629","34.48595575","6.624342139","0.172973951","21.0389542","13.42815455","8.954067307","6.34826829","0.106433816","16.51987195","30.28969736","18.66238896","1.68853572","6.123740243","8.767066655","1.344918691","25.38547558","22.92084485","21.88527268","5.438251747","1.164151369","23.80418419","2.01938122","20.92839804","38.14457481","18.07884447","3.479146185","2.629495468","3.192586706","0.340533348","5.760687388","11.21765914","27.46702638","4.387988462","20.65553616","24.88191813","25.35682404","40.69103838","19.32776086","1.01139161","0.787156481","5.344077238"
"Fruits","2.945403627","1.432663331","1.09064127","2.657733956","1.292983007","1.215193183","1.553080492","0.477290084","1.26657102","1.948317197","0.767246793","1.042084732","1.510594775","2.010287777","0.974604319","0.094008697","0.415690135","1.019993867","1.497757965","0.779053021","0.116175108","1.492084688","1.450913479","0.540387333","0.157671503","1.334658971","2.336045927","1.031876467","0.506093605","6.988688347","4.435013167","2.177836433","0.137212376","1.298271925","0.457410924","1.211479384","1.022373136","2.014964252","2.378168852","0.655461282","0.459388431","1.002444778","1.321788569","1.238694778","1.268179065","2.246666772","1.527771695","1.138166606","0.49235118","0.672170239","1.744483367","1.181182375","2.695570979","0.244100572","1.611591148","0.817608872","2.544813097","0.785401598","1.051193883","0.237392905","0.651649633","1.793274257","0.213331583","2.94484018","1.772327531","0.638133509","0.595517738","0.579360244","1.506009613","0.431491424","0.364805053","1.263606296","0.666755628","1.264608306","1.911604957","1.095369852","1.994067581","1.748965981","0.991419145","1.794436511","1.57227236","1.882383161","0.286090554","2.222598115","0.834474199","2.129676769","0.371390079","0.780987562","1.666573953","1.26852329","0.918566727","1.374439451","2.105218709","1.15498559","2.399844048","0.082643785","0.174561836","0.852732064","1.373800359","2.09125965","0.049117471","1.094460962","1.214745382","1.565309079","1.314053794","1.423699846","1.381787292","0.108040581","0.295170096"
"Refined Grains","12.85479561","119.2049306","100.4287835","20.90581795","12.00801076","20.5005124","6.656701427","93.31360884","22.6431539","9.594272456","63.02176236","20.12930815","22.52492929","22.25304235","9.157940935","81.67726999","92.64496419","61.98953117","8.333230975","74.59371892","25.4150021","116.4186115","23.29214393","96.90099284","92.86225502","14.84890332","83.8927392","4.646064906","44.68257549","14.98652235","28.40684182","48.70500681","48.9710467","9.171370807","121.4170349","6.444850563","92.91675407","6.395566472","20.38194047","71.7723247","20.54763424","8.312756775","10.76361485","38.70344203","73.2948851","23.33822175","49.54496861","9.731693143","30.84780563","13.04770265","109.9548229","59.7097785","88.40190623","35.42063549","15.34874133","67.71475896","88.31850798","60.04126892","41.23472829","45.51937268","40.08842257","11.12807474","19.99353161","8.209889677","87.10444098","92.26003623","164.8063433","85.65343657","4.417487605","124.5208764","55.51915004","5.346954945","14.24574563","37.41770888","31.89888935","64.44098445","11.08417399","12.40607113","7.762973118","37.5664128","18.11211046","52.29989592","52.50994374","10.18349125","4.548861596","19.54780319","18.4103754","32.04741768","21.41916288","86.92531291","7.526088845","5.609984633","19.27133991","56.33111119","141.4322349","68.80497064","128.9791298","11.53988559","152.3776649","27.29255178","45.46141507","8.791627013","8.885566096","8.274272415","32.49977029","41.63602146","95.88655049","54.05371631","102.7050525"
"Whole Grains","0.732136335","3.759181869","1.675741663","0.494584534","0.111868382","0.525749418","0.98348036","0.027600405","0.490282322","1.058371169","0.264715217","0.625596706","1.888597841","0.058920171","0.739063474","4.242960976","0.472205928","0.933728167","0.492906542","1.473592765","0.566822159","0.024848225","0.502008424","0.617301915","0.178492511","1.162492065","0.928647211","1.332361966","0.749933229","0.411437127","0.147989626","4.933407927","0.051250253","0.397977695","0.208873614","0.403635462","0.52227307","1.43672267","0.385444684","0.715093545","2.461604297","0.997949996","0.590949254","0.407215942","0.650317205","0.283634092","0.247793564","0.590850477","0.015355145","0.472785531","0.346248618","0.513472558","0.003193107","0.668547947","1.124743032","0.151914386","1.247336417","0.124636769","2.556844834","0.151661529","0.601641772","0.135862937","1.084599868","1.227722243","10.26585346","1.838526588","0.071895152","0.861935203","0.683211586","0.132877905","1.547728144","1.28092761","0.733279678","3.031550436","0.589318257","0.165265841","0.335508518","0.055829712","1.681519845","0.448345307","1.388849384","0.54831436","0.086123055","0.694747172","0.718880247","1.604726799","8.876460007","0.040236272","0.344504301","0.084396884","0.803191063","0.607997168","0.257614273","0.677151303","0.089172944","0.139536142","1.069782481","0.592889004","0.460108999","0.07456878","0.120102733","1.728005571","0.558363296","0.232915711","0.937849637","0.3712101","0.182365946","1.339220426","0.285701165"
"Nuts And Seeds","0.263122258","0.110258534","0.216383436","0.115073654","0.008000721","0.133584352","0.137200202","0.019619661","0.092008088","0.04896435","0.197971324","0.529427122","0.162762597","0.056633312","0.082969479","1.090725014","0.056484888","0.228556194","0.116193281","0.259209014","0.307320936","0.157880874","0.028368195","0.055308759","0.086544308","0.111851429","0.019669706","0.067919849","0.010582842","0.065489965","0.035828763","0.101697865","0.029470626","0.084474352","0.294511871","0.083155123","0.132435353","0.271954897","0.059427584","0.40228509","0.182678704","0.015155655","0.067768557","0.068369629","0.103076258","0.171425157","0.126787571","0.084254492","0.033445744","0.08647891","0.104693596","0.200222715","0.093467721","0.014722016","0.127565006","0.008368348","0.028421152","0.046738325","0.437622753","0.011645979","0.041109249","0.061182442","0.05011277","0.112930407","0.238482325","0.05910475","0.666703363","0.035904165","0.059783553","0.525764909","0.251622727","0.063018327","0.055746742","0.097656352","0.065413931","0.041576732","0.077077703","0.064382944","0.042070513","0.021161351","0.116833434","0.118807866","0.157457328","0.11340991","0.072227813","0.112141495","0.022388556","0.118994644","0.252826628","0.22456869","0.058825458","0.295592088","0.54148726","0.181683271","0.092991764","0.33252483","0.34572806","0.09656508","0.131803309","0.284490864","0.111732465","0.164515863","0.065707406","0.134300706","0.073840648","0.004594222","0.643311557","0.118212814","0.188748634"
"Total Processed Meats","18.08042909","4.813307154","10.96916486","54.85482521","13.38093054","15.14427019","27.73631778","0.145076225","8.573476835","12.60958817","5.021814997","21.32688644","4.514976505","20.82657548","12.66510943","4.178236661","10.51161054","2.324564629","16.17175005","7.879135976","5.514903902","1.565785854","15.35916744","3.287808857","0.574349754","13.9638725","17.24448741","53.16600693","1.827237013","43.46564876","33.55727333","25.1977953","0.193694494","17.02312304","20.68646295","24.08716049","1.483303293","3.300107177","37.00247425","4.82939187","3.552136307","20.51263873","16.2579128","6.928891693","9.870524526","6.479081408","8.212213586","30.26243347","3.683391622","21.59769916","9.834034492","67.6341559","7.638974316","7.718116862","25.05378818","6.106620471","8.177822883","15.24803241","13.6308328","9.969541746","10.34422346","10.47760658","33.19945446","15.69728583","6.144425038","2.266917855","22.06125892","22.59560848","10.8568533","1.695860056","1.560939911","12.95354612","9.811649291","12.83454655","17.79569882","15.85790168","10.318964","17.55268633","11.2515651","4.43750947","45.0679707","28.5418661","19.94865551","15.44479817","23.38533701","21.05411145","43.44639396","1.627142209","29.77477545","0.890706976","12.02170508","12.97123333","13.58758653","5.378699253","13.37370469","2.348311858","2.435332905","39.49462889","8.786572212","2.158499398","1.577721216","32.32909443","19.81685115","25.05116077","25.64140725","25.38523029","19.46995777","6.847792172","42.90891807"
"Unprocessed Red Meats","0.895504324","0.682543663","0.543291009","1.596315631","4.174857316","3.886101237","2.517865919","0.178129242","2.850961521","1.875973444","0.313100747","2.862455109","1.86306729","2.653151841","1.824825026","0.508001732","0.423447558","0.3603107","2.281582797","1.146779836","1.721601003","2.522837817","1.390452901","1.455563337","0.626432288","2.113949601","2.194515505","2.714909928","0.62802378","2.142695924","1.424147718","0.940877325","0.304755608","1.945872351","1.927912052","1.329600825","0.518284511","3.413556253","2.05629187","0.294108002","0.435776225","2.588228178","2.635694242","0.127687355","0.216255683","1.127076115","0.502752753","2.278813558","1.592539754","1.053902057","0.484239675","1.459457954","0.83420534","0.692394943","2.587075147","0.500643048","0.644211227","1.223746053","0.707481144","0.584590599","1.394552393","2.068130016","2.082986653","2.555103265","1.581504625","0.288824499","2.131496841","1.172096787","1.53732653","0.215422693","0.267374094","2.260536253","0.648520793","1.705788275","1.668177834","0.64583944","3.080015288","1.735323569","2.500241906","0.26097139","4.20375443","0.911724266","0.543135445","2.25004596","0.984690367","2.196040362","1.998246865","2.901029621","3.554414476","0.390662301","1.847155032","2.362610408","0.852270866","0.348814088","1.354934386","0.438069352","0.694433983","2.425504768","0.596327273","1.865888743","0.291427805","1.442216699","1.787260106","2.621487023","1.723030254","1.136151648","2.706279898","0.324601803","1.233832472"
"Fish","45.86603567","58.61806918","131.0140589","258.7363981","16.50480496","13.56615507","14.24177124","102.5433048","250.7890455","21.96604274","132.4037035","2.240712518","68.3821908","18.52273606","47.87059473","131.2993088","229.4246887","132.1139366","16.92859782","55.68643056","49.71952817","243.4756809","5.893696144","204.184136","198.4216933","131.5645","31.51244009","41.94031956","38.85576227","168.0534401","23.15111189","398.1890802","1.826082482","12.03285107","445.6482895","11.74387266","207.7910544","93.71077177","157.9432599","9.980053791","8.775083911","64.63720846","14.09023963","28.00818937","408.213721","26.90155923","27.1766422","6.957654345","124.2721454","17.81665905","0.726756507","45.73989739","276.7775237","21.87203372","38.21132708","46.8380589","95.41698609","554.1778552","66.19737982","15.23213731","153.2822325","43.01841055","1.272935433","103.9420448","26.24847632","112.7865173","349.6173906","155.6817417","18.06790613","21.19264815","258.5485204","7.753957377","5.053422974","7.031510115","40.06588029","331.918518","10.90886544","50.9682611","22.96919006","35.37831514","179.5278777","75.99013184","110.522926","8.878157606","12.54372684","13.19856508","6.001128874","142.4938338","11.38042888","190.5400273","26.10902465","87.10125433","11.43214275","46.86756471","558.1620125","154.8921616","184.7998628","66.2675251","165.4898056","2.905921139","77.71963728","137.3298898","3.811199924","17.70750639","14.82906762","15.56964585","420.601102","92.72060226","24.89887154"
