"","Albania","Algeria","Angola","Antigua and Barbuda","Argentina","Australia","Austria","Bangladesh","Barbados","Belgium","Benin","Bolivia","Bosnia and Herzegovina","Brazil","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Central African Republic","Chad","China","Colombia","Congo","Cote d'Ivoire","Croatia","Cuba","Denmark","Djibouti","Dominica","Dominican Republic","Egypt","Ethiopia","France","Gabon","Germany","Ghana","Greece","Grenada","Guinea","Guinea-Bissau","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Japan","Jordan","Kenya","Kuwait","Laos","Lesotho","Luxembourg","Madagascar","Malawi","Malaysia","Mali","Mauritania","Mauritius","Mexico","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Netherlands","Niger","Nigeria","Norway","Pakistan","Paraguay","Peru","Philippines","Portugal","Romania","Russia","Rwanda","Saint Lucia","Saudi Arabia","Senegal","Serbia","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Syria","Tanzania","Thailand","The Gambia","Togo","Trinidad and Tobago","Tunisia","Turkey","Uganda","Ukraine","United Kingdom","United States","Uruguay","Venezuela","Vietnam","Zambia","Zimbabwe"
"Fruits","579.9466519","282.0897938","214.7460359","523.3048182","254.5868956","239.2701671","305.799797","93.97787921","249.3864052","383.6214585","151.0700282","205.1853082","297.4344073","395.8233959","191.8984911","18.51020649","81.84891874","200.8356419","294.906854","153.3946611","25.53080365","293.7897921","285.6832274","106.4016564","31.04534108","262.792846","459.9648082","203.1753125","99.64926007","1376.064853","873.2490901","428.8135372","27.01696215","255.6282776","90.06369502","238.5389242","201.3041173","396.7441885","468.2587645","129.0595871","90.45306395","197.3802461","260.2586784","243.8976046","249.7030274","442.3661534","300.8165235","224.103721","96.94339197","132.3495619","343.4868072","232.5734773","530.7548854","48.06312727","317.3204792","160.9862647","501.0708285","154.6446888","206.9788899","46.74239515","128.3090777","353.0936784","42.0047481","579.8357099","348.9692919","125.6477682","117.2567709","114.0753785","296.531594","84.96017479","71.82970351","248.8026545","131.2834311","248.9999491","376.3928598","215.6770883","392.6296575","344.369429","195.2093114","353.3225249","309.5786542","370.6391212","56.33090744","437.627062","164.3070285","419.3309538","67.72717856","153.77557","328.1465316","249.770805","180.8647525","270.6255777","414.5151892","235.4798296","472.5265863","16.27246796","25.99128083","167.9019817","335.0275009","411.7666662","10.42073401","215.4981289","239.1819955","308.2075921","258.7357099","280.3248938","272.0723592","22.69759931","51.68828231"
"Non-starchy Vegetables","1024.129709","557.5243724","126.1635611","277.5127401","224.46068","298.2449246","274.7423111","111.4127406","231.89591","348.1563036","176.7199616","126.1048655","724.6110134","158.9464657","301.2645282","57.34211382","123.4781431","449.8166918","308.0073173","157.6784004","24.30748966","1166.611922","197.5484447","117.9207732","122.0354774","848.6511076","715.1390152","339.6207368","248.4483791","500.5610653","309.5439102","510.4953109","175.2110396","303.4037801","183.4679803","274.2919468","196.7185852","555.9316709","543.3300585","237.8529049","175.9324811","290.1559665","233.8477009","266.9276411","137.7176691","369.9500339","384.8898275","293.209094","275.3487202","359.6001415","258.9455599","550.2363029","703.6064456","80.9307159","331.1952843","69.56591585","281.3459408","216.5352884","350.0764778","154.2639128","202.4737055","234.2634256","186.2947225","590.5337163","374.3085171","111.5073682","273.1770353","523.9793191","201.3571298","304.1651512","303.5605805","223.2812198","83.93209857","155.7409857","236.1074999","192.651352","332.1275069","650.7234627","316.7431286","169.7958821","145.4818326","336.5177478","387.1383696","256.8766428","200.5761328","291.9031555","111.0014692","595.3815725","368.9469936","173.2809061","255.9298856","301.3974889","418.6104213","174.8151485","183.6425441","59.99631925","66.59644255","146.3333754","1014.277019","716.7595024","106.0299596","532.9352312","239.0929138","331.1036664","185.6678561","190.5001575","517.774962","74.70381843","44.45693145"
"Potatoes","352.9464283","521.4494349","89.09983207","115.8753279","130.1343716","441.3407942","183.1526061","187.8373614","355.4565063","274.2483873","0.97270753","692.8137113","646.3330775","64.4793651","109.2097713","12.33351129","0.790137614","20.28039198","235.3657486","1.240257312","7.958419977","444.9575479","567.9046938","5.273265712","2.151336713","357.8771329","122.8153308","187.8743527","65.85655707","100.7848962","102.4539745","305.719034","24.02850335","149.355091","12.51747339","178.2554211","0.393740153","201.6206241","98.81048035","17.24180546","3.873431804","116.2920607","321.0162586","95.14881319","14.83631595","107.8948725","158.9644859","249.5818649","60.82532316","194.033617","311.5242765","170.8648733","2.587861752","171.6870009","304.5518722","19.20992152","152.9685337","147.4424136","66.19330313","25.4189124","73.07092621","48.90954867","374.494803","131.2552479","406.021993","29.30175783","77.88022618","140.0223987","216.7721146","28.38114894","15.27306912","166.7758552","157.476417","53.61309653","521.0667582","9.371177119","186.4032073","318.7407911","328.0173126","376.6573842","111.0784803","151.3668547","23.90600224","173.4854307","168.5096628","357.5740158","108.8210757","35.55018433","207.4439173","46.55171172","160.7436584","159.0190973","260.2740045","123.1662023","32.58976481","20.45549037","1.427270754","292.1544907","306.7021051","247.1447697","43.28833975","1011.310498","246.2570511","152.083926","295.1129553","146.0046798","43.8461303","21.44659239","4.303753659"
"Other Starchy Vegetables","0","0","142.7399211","125.6910102","28.18770469","37.4381049","3.799048964","7.725475075","122.0289645","19.67751759","627.3038425","94.68274066","0.951909548","5.870431808","7.662683245","66.70147257","7.374688908","1232.968265","6.033803075","1531.07868","498.8251203","288.1811714","110.3867347","55.87649645","3615.991086","4.941023359","1205.861752","0.302946889","0","1100.630528","242.3288849","9.37547922","56.64966695","1.528924201","2425.792088","0.194625306","987.4351172","9.596399887","358.5646212","873.3281515","77.29311806","20.55429487","212.5915359","2.905403863","21.13811356","0","0","0.57435247","21.16362496","0","223.6602303","3.43231429","38.42065895","3.503255502","22.04894378","291.5863802","813.2221904","3.024250869","68.53258054","4.160096083","6.920735375","1.047489728","0.41399293","4.981547585","7.49547727","180.3045096","329.3257903","9.119409828","11.15945517","61.48829069","2081.157311","7.350474055","0.208449522","90.09328577","20.41731285","102.8998709","1.71596446","11.51151718","0","430.9119053","170.9757158","49.00477928","27.56755293","0","9.387682353","2.700019846","5.731815093","13.48556575","9.52054681","465.9004187","1.309080041","4.573146923","0.996989752","915.6922843","2.37311673","0.408381443","273.4588967","16.05858517","0.43073669","0","585.008117","0","7.973890758","12.82009428","266.0941598","340.3216517","20.77669611","31.72082347","6.617916525"
"Beans and Legumes","19.52231424","91.96013668","32.09848672","36.77466885","10.72501873","8.327687391","13.53608525","23.79508952","26.77472151","11.59426541","39.27524282","14.29676916","90.95647898","44.32184396","8.779169822","244.4810737","33.69705549","93.32769121","40.73703823","36.3849893","55.5260218","21.75169972","26.69206889","8.839986652","9.410802128","5.35204447","259.7544913","12.45380677","52.27956083","59.56171024","31.80714577","16.36733573","75.68102158","6.111835115","0.705758722","5.687148959","21.80017221","17.48799931","55.53117492","15.66930651","6.472746597","17.1279389","3.65445579","49.75108053","6.919361738","14.97464788","57.02726221","19.13642983","30.59695084","21.44503275","202.1016652","77.75501541","29.82366143","12.16859247","8.238339685","32.67450379","67.85784605","9.770270163","32.96376925","33.23516824","33.80589836","33.00270466","6.570710726","32.42417267","95.47577756","56.34661818","174.1477124","103.1651399","10.31029188","279.3053608","94.86882662","72.66616939","16.71126845","121.0331368","31.96594505","4.195516811","11.59092627","8.717104758","12.01438101","122.0410362","77.18621793","74.27780428","16.8060802","15.80660349","5.619083663","16.28953525","4.76962012","19.305497","38.33709782","38.75864483","6.587436641","8.106151139","119.4861857","81.43703932","28.95738841","2.978735948","34.80069356","30.36064061","119.1176926","54.59350732","52.09979274","19.75011776","11.17692469","11.51622106","40.44066341","64.73607229","34.16517509","15.35646907","8.412113114"
"Nuts and Seeds","52.62445169","22.05170674","43.27668724","23.01473086","1.60014416","26.71687037","27.4400405","3.923932209","18.40161762","9.792869931","39.5942648","105.8854245","32.55251947","11.32666243","16.59389577","218.1450027","11.29697763","45.71123875","23.23865622","51.84180286","104.0432112","31.57617474","5.673638943","11.06175175","17.30886159","22.3702858","3.933941188","13.58396979","2.116568338","13.09799297","7.165752688","20.33957307","5.894125279","16.89487041","58.90237417","16.63102451","26.48707053","54.39097943","11.88551679","80.45701808","36.53574089","3.031130922","13.55371135","13.67392581","20.61525165","34.28503148","25.35751426","16.85089835","6.689148876","17.295782","20.93871923","40.04454298","18.6935442","2.944403172","25.51300111","1.67366963","5.684230378","9.347664964","87.5245507","2.329195726","8.221849717","12.23648841","10.022554","22.58608136","47.69646497","11.82095002","133.3406725","7.180833059","11.9567106","105.1529818","50.32454543","12.60366533","11.14934842","19.53127037","13.08278627","8.315346463","15.41554051","12.87658888","8.414102583","4.232270207","23.36668676","23.76157326","31.4914655","22.68198204","14.44556261","22.42829907","3.226182423","23.79892887","50.56532563","44.91373809","11.76509162","59.11841763","108.297452","34.98575078","18.59835273","66.50496608","18.3049977","19.31301607","87.3288052","56.89817274","29.2787341","32.90317264","13.1414811","26.86014117","14.76812967","0.918844351","128.6623115","31.05641849","10.28889303"
"Refined Grains","441.0751975","1182.33725","996.1055391","611.4537437","394.8803931","470.1163237","228.9287673","372.1512252","501.0179073","258.6547347","625.0830132","360.4838004","1088.117424","433.3115899","416.7087312","810.1181579","676.9618277","614.8448008","226.1472946","739.8597696","355.3424858","935.959907","325.2727112","961.1150548","921.0567271","692.7048366","1139.933947","146.0467847","443.1853042","383.5828844","229.6622458","483.0818954","485.720619","366.6869999","1204.278065","267.2000417","921.5972774","229.6663908","507.1876823","711.8756967","203.8022524","282.8954563","387.4648358","306.0305083","560.7370821","513.0137702","963.0880285","423.8397263","276.4486142","368.654327","1090.589813","953.5680142","463.0102673","351.3205079","670.0382675","671.6306238","875.9894522","477.5622534","408.9877407","451.4850992","397.6180772","459.7783098","685.0218071","350.4630906","863.9476965","915.0836041","701.7403467","849.5558711","159.9800985","1235.063599","550.6681549","175.0650047","387.0278572","1833.366238","394.5389887","382.150696","319.7826139","583.6608993","233.8503783","372.6034567","606.9794893","911.359778","520.8212627","523.8254701","197.0043132","906.4108398","180.1779193","293.5127239","683.859831","559.3665152","256.9379909","253.1833627","692.1748073","1431.603195","700.4710838","682.443917","663.8468869","332.7391258","1115.534108","1023.726416","474.069356","396.2345436","339.3299597","265.6246484","1046.715908","620.3644811","469.7887737","570.062959","378.4781317"
"Whole Grains","146.4272671","751.8363738","335.1483325","98.91690675","22.37367647","105.1498836","196.696072","5.520080931","98.05646442","211.6742338","52.94304344","125.1193412","377.7195682","11.78403411","147.8126947","848.5921951","94.44118566","186.7456335","98.58130846","294.718553","128.9299395","4.969645015","100.4016848","123.460383","35.69850218","232.498413","185.7294423","266.4723933","149.9866457","82.28742531","29.59792525","986.6815854","10.25005061","79.5955389","41.7747227","80.72709238","104.454614","287.344534","77.08893683","143.0187089","492.3208594","199.5899993","118.1898508","81.44318842","130.063441","56.72681847","49.55871281","118.1700953","3.071029046","94.55710616","69.24972355","102.6945115","0.63862148","133.7095894","224.9486064","30.38287713","249.4672833","24.9273538","511.3689668","30.33230589","120.3283544","27.1725874","216.9199737","245.5444486","2053.170691","367.7053176","14.37903036","172.3870405","136.6423171","26.57558109","309.5456288","256.185522","146.6559356","606.3100872","117.8636515","33.05316819","67.10170365","11.16594249","336.303969","89.66906145","277.7698768","109.6628721","17.22461102","138.9494345","143.7760495","320.9453598","390.7821387","8.047254333","68.90086018","16.87937678","160.6382125","121.5994336","51.52285457","27.21206565","17.83458874","27.90722848","43.68724175","118.5778007","472.8186182","14.91375598","106.6114468","345.6011142","111.6726591","46.5831421","187.5699275","74.24202006","36.47318924","1483.828289","9.762000878"
"Total Processed Meats","111.0455048","29.56213705","67.3698861","336.904712","82.18235193","93.01234609","170.3495749","0.89102214","52.65616531","77.44495866","30.84274043","130.9844395","27.7298643","127.9116538","77.78595644","25.66169181","64.55970112","14.27689859","99.32287219","48.39169621","38.71899656","9.616667815","94.3321916","20.1929054","3.527513535","85.76263665","105.9113586","326.5324096","11.2224359","266.955219","206.1004381","154.7586003","1.189623475","104.5517936","127.0511175","147.9373571","9.110080414","20.26843863","227.2600065","29.66092538","21.81633895","125.9835323","99.8520624","42.55553183","60.62231008","39.79290878","50.43737616","185.86435","22.62247649","132.647704","60.39819735","415.3921871","46.91668294","47.4027568","153.8741443","37.50534622","50.226157","93.64962788","83.71718952","61.23044925","63.53165126","64.35085725","203.9028035","96.4088308","37.73753248","13.92284643","135.4947729","138.7766152","66.68009642","10.41555126","9.586905237","79.55746298","60.260713","78.82659713","109.2967622","97.39529343","63.37651397","107.8042398","69.10431826","27.25408101","276.7962824","175.2970526","122.5196874","94.85811432","143.6269317","129.3091232","54.42752645","9.993503311","182.8692756","5.47050102","73.83432672","79.66609342","83.4515817","11.5220639","82.13797254","14.42274817","6.241510162","242.5662013","139.6510832","13.25696719","30.02471347","198.5572684","121.7101778","153.8580074","157.4831547","155.9097794","119.5796448","221.0598465","74.61524845"
"Unprocessed Red Meats","73.43142763","55.96863601","44.54990704","130.8980119","342.3386404","318.6606184","206.4652107","14.60661234","233.7790772","153.8299754","25.67428679","234.7215524","152.7716698","217.5586673","149.635801","41.65618348","34.72273427","29.54550676","187.0899754","94.0360401","184.5322351","206.8729068","114.0172512","119.3563124","51.36749873","173.3440397","179.9504504","222.6228356","51.49800116","175.7012405","116.780229","77.15201737","24.98998475","159.5616915","158.0889455","109.0273761","42.49937218","279.9118912","168.616101","24.11688011","35.733686","212.2349217","216.1271428","10.47037355","17.73298363","92.42033335","41.22576674","186.8628977","130.5883897","86.42005461","39.70769282","119.6756713","68.40490595","56.77644179","212.1403731","41.05277078","52.82537313","100.3472762","58.01351152","47.93647676","114.3534099","169.58683","170.8050754","209.5186761","129.6835082","23.6836325","174.7829148","96.11203215","126.0609008","17.66467843","21.9246975","185.3641571","53.17875791","139.8747777","136.7907184","52.95888678","252.5615048","142.2966742","205.0200402","21.3996753","344.7082061","74.76146417","44.53715077","184.5039522","80.7446904","180.0754888","149.7519205","237.8846655","291.4622769","32.03434052","151.4668633","193.7342462","69.88628048","28.76632538","111.1047302","35.92172258","44.67855745","198.8915888","62.25654003","153.0030291","26.10433599","118.2618869","146.5554744","214.9621497","141.2886214","93.1645278","221.9151724","28.73464802","86.3382026"
