"","Albania","Algeria","Angola","Antigua and Barbuda","Argentina","Australia","Austria","Bangladesh","Barbados","Belgium","Benin","Bolivia","Bosnia and Herzegovina","Brazil","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Central African Republic","Chad","China","Colombia","Congo","Cote d'Ivoire","Croatia","Cuba","Denmark","Djibouti","Dominica","Dominican Republic","Egypt","Ethiopia","France","Gabon","Germany","Ghana","Greece","Grenada","Guinea","Guinea-Bissau","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Japan","Jordan","Kenya","Kuwait","Laos","Lesotho","Luxembourg","Madagascar","Malawi","Malaysia","Mali","Mauritania","Mauritius","Mexico","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Netherlands","Niger","Nigeria","Norway","Pakistan","Paraguay","Peru","Philippines","Portugal","Romania","Russia","Rwanda","Saint Lucia","Saudi Arabia","Senegal","Serbia","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Syria","Tanzania","Thailand","The Gambia","Togo","Trinidad and Tobago","Tunisia","Turkey","Uganda","Ukraine","United Kingdom","United States","Uruguay","Venezuela","Vietnam","Zambia","Zimbabwe"
"Fruits","398.7628052","260.0047245","147.6562222","242.1599882","186.8702915","158.9016032","226.6469938","74.60785376","164.8941868","293.0764253","110.8874836","157.40029","274.1479941","307.9709029","127.8303737","8.565622233","62.95349948","153.4330019","234.6611325","101.8708595","16.79256351","236.46476","228.041815","84.4709339","23.00960725","187.1384698","151.6419622","138.782657","66.37989742","842.0746773","688.1328301","328.9483818","21.02058219","200.4164411","59.55007746","190.2825203","160.1802451","286.0022785","218.9754253","91.92216828","72.20263178","145.7816229","187.2528097","197.182897","204.8113995","362.6620531","139.9969669","147.4013908","86.81157481","101.9436728","113.2413013","160.7284424","404.5969132","38.33996075","181.293041","109.9646472","361.2085641","120.8047793","163.1023392","36.6467457","100.3678794","286.1539332","28.20264643","202.7667192","213.5496763","95.81496385","85.21390351","53.34594122","240.2870064","60.50133156","53.05217192","184.46414","98.69954958","176.1466537","299.4362678","177.7692514","337.5852394","238.1189874","151.4134468","289.8021765","145.6850125","118.7886903","45.54161791","186.0718392","122.2060997","294.3936487","60.6488272","134.1128526","250.2340352","187.7231063","142.9197195","192.7519718","225.9751182","169.424743","261.8447901","13.09734148","21.30825606","122.6831132","155.9184096","302.947965","8.026682394","154.3792998","187.0965804","264.5583985","189.7291578","132.0570009","200.2867868","17.45769313","45.07909148"
"Non-starchy Vegetables","692.2815298","496.5960794","85.28285261","140.6186409","166.7676221","208.6692718","215.6635456","94.13376197","162.169195","266.6431675","131.2976855","99.02527905","645.4228841","127.9093369","233.2624859","29.05585562","99.27606784","344.5020133","258.6296353","110.3208614","17.36522486","954.6530133","158.2918267","99.63246511","95.79377721","820.0594847","211.0170532","246.7062697","192.3681055","324.3523618","242.9596967","400.8722457","140.9979631","250.107102","128.302628","228.1209902","165.1819716","414.0737267","273.9832352","175.2347704","140.9713645","228.4769651","179.3251971","227.9663972","115.1557924","304.1734694","202.6912275","209.4680249","253.7794683","280.2989504","76.40742266","405.3990131","564.3402705","67.30782754","205.5172917","50.53386245","209.554462","176.4524757","274.7735363","127.1655223","163.5689086","197.432287","136.1186873","189.4315118","242.5435376","89.4997195","211.8824968","264.2253025","170.6069389","293.917624","239.032135","174.3022563","66.62594045","117.4604214","190.7721826","163.8568621","279.1626275","498.9250068","257.0524454","141.9787271","74.77724513","95.5403918","330.6309491","205.532591","157.4450691","219.7684755","102.3062457","533.9851307","296.1297801","139.7097132","213.4660135","222.0503457","252.1302121","134.0563146","108.3545","49.09573259","54.75569434","109.0188336","534.1400041","557.8354814","82.64759369","409.9319863","193.151831","296.4331638","144.9887292","97.01959685","406.7186531","60.06165272","39.87248085"
"Potatoes","42.68033601","60.54805603","10.77447019","9.802037439","80.93622956","40.81680964","133.0346353","109.695728","29.75576387","199.7810186","0.604969148","60.28459994","75.04890938","40.35616336","51.48510225","1.043306989","0.053242602","14.77360508","192.3951206","0.114703529","4.505628103","35.77554369","47.77977092","3.079550932","1.562643858","35.17053386","10.26932571","128.9701055","31.04696158","8.571730231","8.497367764","26.60188353","15.03889198","121.7237195","1.047855296","145.8848891","0.321855175","114.9477254","8.533255065","11.21589061","0.325885111","76.30057792","29.76962582","54.63661631","10.2263497","71.8368042","13.3057314","141.2997891","42.23803269","15.53934397","26.04841141","29.77322671","0.638380555","140.5092699","29.59564883","13.18703468","87.21024985","11.73826069","5.489966036","20.71629793","52.89415882","35.27327293","40.51089305","25.09375876","34.53206903","18.21318807","5.979328362","12.09230882","179.2013405","2.789169992","10.02083886","122.5044093","11.06466539","4.644436817","119.4376861","5.331714797","156.1530488","224.4132642","206.3176005","259.6217377","9.111675282","13.29135811","13.72737114","45.8717605","114.8821278","35.24196228","75.56701575","30.72658057","128.9415844","15.3101613","130.4300524","103.4428097","22.10450836","11.42188801","2.60366521","1.644665413","0.950282134","24.15882632","25.67174553","66.99224346","3.466782776","116.9138981","178.2591278","134.6424594","22.50254063","11.55601118","3.405538525","1.445156327","3.719801628"
"Other Starchy Vegetables","0","0","71.25640687","6.029671559","13.63064598","1.410851345","0.172591998","5.235946684","5.732823886","0.724270521","303.3434858","69.28978898","0.045860638","3.264905839","1.580502171","3.199814939","5.320876464","45.38187113","4.294058085","57.69855127","22.06622733","13.92069738","80.74924973","37.87033852","164.2756207","0.234565001","57.2323602","0.01208311","0","53.50731677","174.8135702","6.86107069","31.50634135","0.902544605","113.9617867","0.138473851","702.7249142","0.414832767","17.91040788","38.76249356","56.54086347","0.954753763","8.90551006","1.899807597","15.58879948","0","0","0.025407285","8.147434108","0","10.61531543","0.121135705","17.65901299","2.492529324","0.883239296","11.62999341","35.15393431","1.844463038","49.43870015","2.455760903","0.280293549","0.830717744","0.019649858","0.235044083","0.364393742","7.780783847","14.41744108","0.455517193","7.336166175","2.919031123","96.67044227","0.290669453","0.129646496","4.487162257","15.03645968","76.71371393","1.324185747","6.2664699","0","317.7861292","8.165335974","2.022535863","18.02608139","0","2.366745408","0.13919725","2.206596738","10.39817447","0.410845613","18.28849678","0.91896362","0.202978202","0.043045408","38.35856783","0.109109275","0.019727016","176.3018456","9.001767569","0.018450488","0","406.9516552","0","0.322946916","10.43840565","11.10358584","15.08042168","8.632087658","22.88673937","5.102807843"
"Beans and Legumes","10.97654518","5.160556675","18.04757803","2.00017049","5.72651962","4.141572133","5.514591221","17.7969297","10.34534029","5.144129134","20.97063457","9.954964441","5.104234092","30.89278325","4.190288985","13.29730068","22.59527453","41.40751296","28.93388399","18.09518666","10.76640321","13.6510673","19.52296025","6.611642324","3.833953896","0.816089485","14.25801574","0.62819304","24.95298215","3.329448206","23.20138315","11.39671791","52.75045412","4.204679682","0.272694307","4.235903466","15.48378776","9.746047795","3.135746386","7.855090027","4.734259268","1.760664841","2.149890709","37.02928144","5.160943483","10.74680235","2.838014912","3.710521895","21.93692475","14.56692223","11.09343176","3.227172987","1.561310746","9.06341356","0.740701832","1.648162383","37.81712243","6.713783701","24.04506981","22.86436627","21.52479393","25.00955873","0.356260563","4.665574821","5.337013579","12.02951592","9.043451867","5.825551412","7.036830714","42.58898994","9.752031958","11.38438342","10.76937558","6.933101186","23.61201241","3.113825553","8.569149726","4.891792127","4.141322509","91.02673252","4.122744814","3.560736911","12.50861423","3.953796576","2.27894553","3.131017049","3.419647867","15.82118841","8.184638993","25.91986232","4.63388933","4.063648058","5.976435423","47.90883903","4.815477386","1.869413675","24.97529012","19.9887234","5.928003111","23.3103536","35.38971649","1.050664882","7.116539192","9.50730869","1.967041965","3.28700989","14.87519583","10.29714998","6.893872064"
"Nuts and Seeds","3.29587916","1.378240238","2.71042694","1.308724234","0.871406438","16.58327419","17.3290671","2.132480647","7.398482493","6.533879612","21.56224303","6.210945701","2.034545113","6.767498887","7.080709135","12.40473562","4.970711074","30.49889696","17.85791643","32.17842582","25.01652837","20.2343599","0.663335773","6.011564491","10.93097599","4.099084735","0.21349182","6.766104537","0.903151675","0.747263311","0.382055057","1.193063016","3.521645189","11.80957942","23.68205845","11.930253","20.35418432","32.66767564","0.66972503","5.264666566","4.2715908","1.504331526","7.219379289","7.288184454","13.31694109","24.04501814","1.390829963","4.051691329","5.732759496","8.736484512","1.136327431","2.151805916","11.65653769","2.112165414","3.022670325","0.833646118","3.413996148","5.238605657","4.666529622","1.628116774","5.462111719","7.873122486","0.594740971","3.602667367","2.721166397","6.290878028","7.503259135","0.404625539","8.986880811","19.26801412","24.97576059","8.28550291","0.405798689","1.14505689","0.724927739","5.106486266","10.6806383","5.760072736","4.096028525","2.733941548","1.295757681","1.516130799","16.78490965","4.057001487","7.465301919","5.219203946","2.764914978","18.31546359","26.90987573","1.721587816","8.576451486","3.868385433","6.500483483","18.63514709","1.080449514","42.61711337","12.83778905","3.880130389","4.789882701","21.12652208","14.78934037","1.919906315","8.73042447","22.46975451","0.939142667","0.046495991","8.362612122","13.66493662","7.918249044"
"Refined Grains","265.7362786","141.0934509","600.1275532","70.4105753","262.8392574","50.60636272","89.78239566","272.5927694","61.5340917","100.4667893","416.066125","262.1851986","129.8497889","295.7293099","167.6218974","93.28732736","495.3030545","238.8182962","162.560431","79.64329248","127.011849","115.7546069","233.2075779","703.9961088","361.2244999","82.00983198","137.7989064","56.26813075","178.2721504","45.74872056","165.5106088","351.352606","331.4977647","250.7271423","147.9072021","197.1500173","662.4675784","81.400098","66.57546669","379.732065","146.1180973","96.76653479","42.62394321","210.8069692","428.2281287","364.7276904","143.9387528","151.4951616","208.7533072","252.6198433","131.8340277","100.2030645","327.6920277","259.2171909","97.04547148","258.7622853","310.4748022","159.5399663","294.7450493","308.7089773","198.8208268","343.8186439","83.87745847","40.91223015","103.0403163","115.1999029","84.71482369","111.516073","117.8626421","146.2200823","188.3602157","64.97385422","235.0155928","215.5268441","288.4721012","292.2627044","245.0028447","349.4028472","86.61932337","284.5527541","67.50450149","132.3840716","358.7640739","123.6815976","101.5646985","103.8440108","136.0568823","244.0343634","86.091135","210.3051633","97.10856561","135.054254","120.3477949","157.4867385","85.21067633","84.4010804","471.9626565","202.7251832","166.72265","278.0141905","324.8553392","201.3096704","169.67504","217.8101465","123.8567475","89.4974328","216.2787043","417.0898762","314.676886"
"Whole Grains","6.751318384","42.03257083","15.45267588","3.540223135","12.65212416","72.00775447","137.7680742","2.272903809","53.72531415","124.4697733","29.93884175","5.020209925","21.11699441","7.022831813","78.61717631","30.3710035","3.086574538","109.8111294","79.51765778","201.8263879","63.19111789","3.248551258","3.862510976","50.83504723","25.0036203","16.01873747","7.789583997","174.8704461","79.7734362","3.464029199","0.978415379","39.58899274","6.108636554","62.46159114","22.8884461","63.78431229","84.25518368","136.4412944","3.192819618","90.70023705","18.93986866","113.918031","83.02887537","48.45962139","5.350059927","36.74974837","1.568924739","57.91750508","1.713562393","3.003140633","2.904367406","2.798823487","0.236399979","105.6469885","9.745188042","19.93852801","118.4558431","0.926947825","16.90426802","23.80289291","85.54945245","16.5743151","27.52885117","213.3225835","86.43171416","201.8018876","0.523073888","7.139814708","101.279583","1.831011451","176.6763298","177.9856127","10.96747326","26.06920939","4.859725857","19.69512031","52.5684378","5.202427438","198.503594","3.688468093","17.71105014","3.508226779","10.24883903","137.937659","87.96937295","19.53932375","218.0472952","6.665180068","37.81376818","7.474266612","112.510825","77.11646632","1.594735724","19.11659244","0.664666265","18.24236176","28.30222432","40.56489042","14.9684442","4.782096973","3.385987375","24.11228805","79.39554137","40.04907049","7.382859982","2.641816939","1.393494799","48.49522573","8.085427773"
"Total Processed Meats","16.83806519","13.53828481","10.21543858","25.88714801","52.65967383","60.61156278","42.76072351","0.366535955","22.49485926","51.53596785","19.76298576","5.546062957","12.69917665","80.02777627","44.80978085","1.971797931","2.003040237","9.500602745","78.22757674","31.53448393","14.72768946","6.046704903","54.3664522","8.30666885","0.88546761","45.67507065","6.637107042","20.70322364","6.464854534","10.43593783","12.17545051","6.55269392","0.744286533","81.62596741","54.27658833","110.4427261","7.175180288","11.62638774","9.006580389","18.22269618","12.57340605","62.08186908","59.10057709","0.665124927","4.187143706","19.85212768","2.843905892","70.6979176","15.58038274","6.521540702","3.784950983","16.98839717","17.72934686","35.38855761","53.18193668","2.37796172","28.81074298","49.56759404","4.94562024","47.80400681","44.61330088","46.70863241","94.2551663","27.37708317","1.475253207","5.504843639","10.49111916","5.499879895","49.99176574","5.547066395","4.72421264","30.29967726","0.882579564","4.31493734","5.797688195","65.95869276","50.67170225","67.73075897","35.31172282","1.88242173","10.41328242","14.90993231","1.91493079","27.39938686","81.47623068","48.700107","37.48491877","7.88174674","72.30323008","1.690099104","55.30355665","48.94422536","3.158367382","6.819695151","3.589680545","9.068640383","3.113802445","15.80444027","7.874210922","5.239602324","1.476146101","18.94231283","85.46752171","133.2144814","11.02807474","8.184411877","4.755696249","6.858640292","58.84808089"
"Unprocessed Red Meats","50.3275055","24.640914","30.53305327","72.68103785","231.748776","224.5880133","135.6566094","11.41025195","129.1487587","104.8421813","17.38040593","190.2012614","67.25969836","169.3933555","102.7979525","23.12956938","26.51502563","20.13661751","153.0233101","66.27542347","81.91305667","152.4935939","92.5528417","93.23760806","33.75067735","154.0585243","115.4186778","130.6808367","35.37849259","98.08489378","90.47640478","62.51837923","19.4574522","128.2772591","87.33455243","89.80007569","34.76078604","171.0929017","94.96187556","13.28257406","29.00661214","122.2957354","162.9472008","8.167212032","13.95924994","70.12089756","19.56610513","82.94762763","119.0737639","65.8503469","25.46817412","77.26907174","48.17251163","46.76374829","67.37196788","24.09820368","32.28889753","69.47625146","44.94642625","38.53782067","87.31163724","142.2666608","103.5499136","107.8692587","72.39557953","10.53768521","98.71261551","54.12875034","107.4583324","15.69938197","12.63362778","127.3617601","39.6829029","86.84894107","111.972565","42.22791008","204.472241","98.44196076","131.0694536","16.84563762","191.0556922","36.49084834","34.74034157","81.06593234","49.17529092","80.3059181","136.5475512","211.1944437","129.6818689","22.17170465","125.0436637","106.7007615","33.73941451","21.68812366","43.48853707","26.47921693","33.8983905","110.045411","29.54749186","70.88758879","19.89098004","36.03723535","111.8987044","196.1946052","77.98723346","50.72315805","97.62636964","21.94239436","76.65121511"
