"","Albania","Algeria","Angola","Antigua and Barbuda","Argentina","Australia","Austria","Bangladesh","Barbados","Belgium","Benin","Bolivia","Bosnia and Herzegovina","Brazil","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Central African Republic","Chad","China","Colombia","Congo","Cote d'Ivoire","Croatia","Cuba","Denmark","Djibouti","Dominica","Dominican Republic","Egypt","Ethiopia","France","Gabon","Germany","Ghana","Greece","Grenada","Guinea","Guinea-Bissau","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Japan","Jordan","Kenya","Kuwait","Laos","Lesotho","Luxembourg","Madagascar","Malawi","Malaysia","Mali","Mauritania","Mauritius","Mexico","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Netherlands","Niger","Nigeria","Norway","Pakistan","Paraguay","Peru","Philippines","Portugal","Romania","Russia","Rwanda","Saint Lucia","Saudi Arabia","Senegal","Serbia","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","Sweden","Switzerland","Syria","Tanzania","Thailand","The Gambia","Togo","Trinidad and Tobago","Tunisia","Turkey","Uganda","Ukraine","United Kingdom","United States","Uruguay","Venezuela","Vietnam","Zambia","Zimbabwe"
"Cheese","0.181651849","0.047293973","0.034395616","0.369752877","0.074165548","0.533132055","1.492984726","0.020422397","0.265491164","2.575371781","0.003224589","0.017197808","0.185951301","0.059117466","0.115010342","0.008598904","0.034395616","0.001074863","0.994248288","0.001074863","0.003224589","0.024721849","0.047293973","0.007524041","0.004299452","0.162304315","0.022572123","1.115707808","0.019347534","0.007524041","0.063416918","0.155855137","0.015048082","1.297359658","0.027946438","1.379049247","0.006449178","0.274090068","0.081689589","0.006449178","0.005374315","1.241466781","1.684310342","0.355779658","0.011823493","0.293437603","0.029021301","0.463265959","0.065566644","0.058042603","0.083839315","0.232170411","0.007524041","0.003224589","1.762775342","0.001074863","0","0.080614726","0.002149726","0.03224589","0.26764089","0.034395616","0.433169795","0.216047466","0.171978082","0.003224589","0.098887397","0.068791233","0.693286644","0.096737671","0.007524041","1.069488699","0.557853904","0","0.022572123","0.006449178","0.496586712","0.153705411","0.547105274","0.015048082","0.126833836","0.391250137","0.016122945","0.042994521","0.731981712","1.34465363","0.059117466","0.252592808","0.325683493","0.01074863","1.765999932","0.562153356","0.079539863","0.078465","0.026871575","0.012898356","0.005374315","0.123609247","0.190250753","0.310635411","0.027946438","0.121459521","0.302036507","0.257967123","0.190250753","0.012898356","0.015048082","0.009673767","0.025796712"
"Yoghurt","0.548684019","0.029974025","0.274342009","0.093606002","0.284262265","0.353704165","0.443501247","0.022191797","0.12042005","0.191955146","0.046803001","0.076209145","0.484406791","0.083559086","3.397230901","0.176852082","0.33738921","1.698615451","0.05994805","0.095977573","0.032086541","0.517414905","0.045350007","0.038104573","0.011095898","0.086727654","0.214999159","0.106608975","0.060210025","0.394301426","0.390616159","0.110931823","0.258707453","0.331499924","0.022675003","0.105426156","0.107499579","0.345834882","0.411508291","0.052713078","0.053304487","0.540585495","0.248882614","0.013104784","0.580916516","0.421513756","0.520842353","0.060784782","0.21985997","0.443435275","0.19530808","0.160677127","0.519025043","0.303452193","0.082028299","0.205754145","0.030392391","0.302635007","0.043363827","0.290458258","0.006552392","0.376534866","0.662760089","0.051002664","0.172917441","0.270292748","0.13581623","0.210756878","0.048576679","0.260421176","0.124441307","1.134648808","0.368233062","0.58455415","0.045741778","0.065167153","0.030925512","0.068718095","0.512898951","0.221717638","0.064173082","0.55148144","0.168694605","0.427578656","0.407897493","0.280735675","0.025501332","0.003790973","0.039714434","0.092961774","0.591759544","0.221863645","0.658883017","0.188267433","0.309143109","0.197150713","0.046480887","0.037248363","0.041014149","0.113861737","0.067908115","0.986774113","0.606904386","0.142031377","0.460310783","0.119634201","0.087859623","0.331380044","0.151317503"
"Total Milk","32.06760676","7.021586715","0.685970575","4.503326004","16.35908294","22.2019739","18.66487489","1.771584775","2.288592096","18.63856923","1.159472388","4.209916761","19.64425471","14.31634755","14.38109994","1.746290875","0.321738411","0.909568654","16.83258475","1.507516456","2.055888214","2.273415756","11.16675109","0.113316673","0.114328429","21.86809442","8.659619696","25.01465561","2.135816939","6.770671224","8.548326535","3.127337829","2.820775758","18.29861921","0.716323256","17.31316886","0.20538647","24.54216555","2.900704483","1.5317986","1.772596531","16.29635407","20.6033994","7.603346421","0.478560593","2.001253389","2.951292283","32.56336721","4.814946855","4.510408296","7.689345682","3.901331178","0.300491535","5.166026191","9.688575559","2.02148851","1.015803035","0.508913273","4.406197427","8.164871007","1.72200873","9.283873155","17.46796753","35.82931561","2.846069658","0.616159411","1.718973462","5.143767559","29.3550889","3.994412731","0.123434233","17.37286246","11.33773786","4.445655911","5.571740351","0.094093309","14.56321602","23.89970049","13.96425646","1.498410652","2.986703744","4.105705892","1.181731021","16.3944944","16.77592641","14.03305587","4.66925399","1.065379079","15.71459436","1.654221078","17.89695207","29.15577296","8.629267016","2.945221747","1.581374645","2.584024852","0.160869206","2.815716978","9.278814375","17.67942453","4.072317943","16.02823872","21.00709005","23.25723542","19.43482121","9.386060512","0.77095808","0.72037028","2.568848511"
"Fruits","2.43877365","1.406883116","0.903043361","1.813461344","1.107723913","0.992095403","1.334945763","0.425223499","1.029107657","1.703398586","0.657315383","0.913340003","1.483412214","1.769491898","0.797433205","0.064145299","0.364278508","0.891772712","1.33884179","0.636026379","0.105192724","1.338980934","1.295985495","0.481437601","0.135526076","1.127621479","1.323675114","0.855038745","0.414091994","5.479622588","3.93735254","1.908774857","0.120776832","1.149049626","0.37165313","1.083512889","0.913896578","1.712860365","1.623808324","0.552818378","0.410335111","0.86143936","1.120942575","1.11454196","1.148771339","2.034282579","1.046083203","0.923358358","0.465853493","0.590248064","0.988477663","0.982216192","2.352782772","0.218316646","1.217647527","0.677491236","2.163268895","0.693771063","0.933237569","0.210107161","0.576472826","1.615320551","0.174764632","1.742358854","1.389629283","0.557131836","0.5062052","0.395585867","1.355121617","0.364556796","0.313491016","1.08754806","0.578142552","1.063615324","1.705068312","0.99418256","1.868840582","1.454609444","0.873684016","1.62547805","1.076555698","1.05290125","0.257416058","1.447234822","0.718399518","1.780066828","0.325457384","0.730226742","1.455026876","1.100627578","0.815800189","1.159207125","1.553679841","1.014219269","1.786467444","0.074163654","0.119524537","0.729531023","1.165051165","1.790363471","0.046474034","0.926280378","1.074607685","1.449739411","1.124699458","0.97887674","1.185505306","0.10101841","0.24544969"
"Refined Grains","10.00159108","39.44821839","78.13796927","6.794803072","9.804294505","6.531301468","4.150511118","79.79409297","7.85492901","6.001174776","51.4559764","17.16969226","7.454123967","18.45721018","5.743349656","26.54672334","79.4861323","38.77417621","7.084242928","23.76497018","21.41772044","41.04674625","19.74143089","82.86172755","57.90042202","4.899593283","28.61410119","2.88594993","28.02241862","5.00021907","24.11661087","41.54390068","40.61776754","7.593090459","42.11967087","5.547134614","78.99035319","3.808372896","7.428680218","52.30114904","17.41530116","4.876076349","3.47421714","32.11962346","64.13022828","19.66757693","21.6662615","5.817838604","26.82267288","10.79095914","37.50334605","20.23797003","74.32381558","30.4868253","6.380490809","42.06170336","52.59109001","34.64722534","35.0071262","37.68604734","28.38837553","9.644286504","6.825747644","2.673033785","29.06219848","32.51243476","58.51520965","31.21842058","3.789647358","41.08732049","32.56628598","3.262553317","11.14387971","12.26763911","27.25256125","56.35811649","9.705913915","9.590027879","4.714617696","32.86917805","5.757139273","22.60680262","43.57750971","5.025757059","3.246799011","6.370513818","15.79545685","29.23564634","7.548112531","53.23288397","4.61211416","4.088047079","10.23842567","46.58802667","49.65833232","24.25918102","56.40321576","8.981119144","49.18357844","14.24568241","39.52944595","6.253792391","6.292260234","7.499508831","11.39744329","17.2824103","65.35031049","49.31115977","34.81074332"
"Whole Grains","0.154880981","0.95529875","0.354497517","0.08828286","0.08424266","0.436957493","0.825635455","0.016724053","0.374958374","0.809461696","0.199344208","0.123493736","0.479938247","0.045386761","0.539619709","0.757364421","0.077590745","0.714132441","0.442340824","1.224722991","0.452231339","0.020124705","0.098109288","0.37404487","0.149845133","0.359390125","0.195541853","1.081010596","0.547556151","0.085750438","0.024885196","0.973862185","0.039478551","0.35243625","0.159742473","0.359597321","0.468694733","0.987497092","0.078019328","0.569401105","0.481080064","0.755304203","0.494648867","0.345657883","0.126374007","0.226293597","0.040367607","0.414490386","0.011462187","0.079516417","0.072908307","0.079853535","0.001962596","0.595606861","0.216957607","0.12325559","0.857326963","0.021780721","0.429946256","0.134306574","0.507461494","0.10596195","0.563535595","1.218311927","2.139577032","1.356681008","0.012561956","0.174467591","0.588280074","0.041079856","1.17140696","1.067434825","0.305784695","0.639582473","0.121895206","0.126704471","0.297185061","0.037866837","1.292272168","0.087125471","0.421113913","0.091770285","0.073103997","0.694673906","0.562802839","0.456592583","1.458539804","0.036626701","0.254215765","0.055666542","0.671254578","0.484124436","0.041874363","0.113888099","0.015679646","0.113011036","0.174276354","0.349120817","0.385130184","0.042263732","0.089653339","0.553397074","0.470957778","0.215982488","0.196241307","0.069074874","0.033388111","1.219079802","0.04443129"
"Nuts And Seeds","0.062465753","0.025890411","0.051369863","0.025479452","0.005890411","0.105753425","0.109452055","0.014383562","0.058630137","0.04","0.145753425","0.121232877","0.038219178","0.04369863","0.05369863","0.241506849","0.037671233","0.186712329","0.101917808","0.205205479","0.257123288","0.126438356","0.012465753","0.040547945","0.069041096","0.048493151","0.004246575","0.047808219","0.006849315","0.014520548","0.007671233","0.023287671","0.022739726","0.070547945","0.187671233","0.070410959","0.116164384","0.209726027","0.013150685","0.094520548","0.080273973","0.010684932","0.049726027","0.049726027","0.082739726","0.143424658","0.028082192","0.041643836","0.030958904","0.06109589","0.02260274","0.047808219","0.073835616","0.012465753","0.04369863","0.005890411","0.021917808","0.035342466","0.09369863","0.009726027","0.033424658","0.04890411","0.011369863","0.045890411","0.052876712","0.043424658","0.145753425","0.007945205","0.051780822","0.227945205","0.17739726","0.05109589","0.010136986","0.022054795","0.014246575","0.03260274","0.064109589","0.043013699","0.029315068","0.016986301","0.025479452","0.030684932","0.114520548","0.046986301","0.051780822","0.054109589","0.014931507","0.104246575","0.185753425","0.042465753","0.050273973","0.069452055","0.129863014","0.128356164","0.020684932","0.26630137","0.076575342","0.043424658","0.096712329","0.172739726","0.103424658","0.037260274","0.053424658","0.122739726","0.019452055","0.000958904","0.162328767","0.103561644","0.045068493"
"Total Processed Meats","10.4036871","3.262783827","6.311783772","18.55789337","10.7282088","12.2607607","14.12227904","0.090762706","5.614129977","10.25802492","4.026258091","4.121962117","3.060555217","16.50633514","9.593336096","1.413536004","1.771566165","1.891056358","14.3388351","6.378927442","3.904493069","1.236322357","11.90098749","2.056921659","0.29243707","12.41125032","5.029012821","14.43452118","1.384062166","7.815216925","9.101581189","4.870113504","0.153514736","15.02585384","13.54602036","20.80680272","1.315184891","2.503308175","6.725218621","3.770495097","2.752358157","14.41653691","12.42977218","0.797921887","3.22478863","4.587120447","2.426196874","18.74289447","3.043430576","5.759259332","2.867901165","16.9632479","4.620127279","6.667009795","18.90920619","1.657941749","6.203316976","11.02193683","3.697026578","8.799846939","8.662710097","8.913740506","32.20737355","8.876304995","1.104780808","1.414847719","7.628112719","4.106763398","9.398124327","1.507299904","1.097047929","7.876393686","1.071167281","3.290376917","4.464714787","12.98400779","9.227230975","13.89540595","8.024068951","1.449774026","8.092459039","12.86801701","2.29726045","8.363997576","17.66539881","12.98864755","7.322204457","1.44138723","18.58328172","0.49407945","10.40592971","10.12714913","2.66590129","1.434288145","2.695222404","1.854193819","0.719488968","12.11406597","6.717657562","1.351443471","1.303604255","13.06125834","16.59550737","23.31012871","8.629981709","6.410237377","3.649020284","6.06604643","10.76193832"
"Unprocessed Red Meats","0.739646618","0.469284168","0.448734134","1.183361345","3.423322764","3.266437458","2.036467451","0.157251219","2.108403648","1.550088066","0.256738095","2.574993608","1.28095539","2.349048752","1.510330641","0.376585684","0.369482106","0.297719201","2.062345734","0.963918433","1.497731363","2.173017803","1.252624484","1.284960893","0.506662788","2.092119932","1.791386928","2.058854148","0.519788771","1.590386682","1.254480121","0.846389902","0.269824656","1.745268971","1.42577049","1.209038948","0.468482604","2.65981144","1.540052355","0.219095432","0.392579978","1.956960366","2.29053199","0.112638281","0.192143626","0.980515952","0.343170357","1.516647875","1.520460296","0.921123099","0.395285712","1.173163543","0.699059742","0.629611864","1.458751924","0.379663062","0.501963426","1.015758781","0.623194504","0.524324132","1.222867542","1.894676271","1.623435189","2.113651017","1.173850132","0.192057283","1.628122657","0.877837647","1.419706404","0.213198134","0.20216166","1.870134404","0.559261795","1.374333167","1.506890356","0.576118334","2.773968283","1.440363478","2.08226084","0.231873626","3.104200594","0.629242942","0.479122172","1.482794969","0.769420566","1.46718323","1.743584172","2.732666361","2.363550146","0.325505946","1.677666823","1.760024021","0.587495045","0.304867717","0.849916091","0.377326079","0.474008659","1.803654126","0.518234123","1.272314672","0.27823758","0.799867674","1.567228585","2.502662641","1.282118019","0.832271764","1.785492633","0.305763313","0.991797859"
"Fish","33.69389134","24.8275142","96.2449316","105.8223521","12.70046139","11.0812695","10.72720971","89.09678965","103.0456723","17.67382295","101.884762","1.862067489","28.96307976","15.73206559","34.06184335","53.70099368","201.3665098","106.2985423","14.95963448","45.48645812","42.60524042","206.8885275","4.940784653","177.4094472","149.4555052","76.11350181","13.06067902","17.23616769","27.64742939","70.08545474","19.35962855","330.901414","1.55096144","10.6160226","183.11058","10.40129622","183.6228999","71.6455131","66.04898504","7.618897656","7.356300504","31.48617927","12.05656282","24.09476382","357.20707","23.05225816","11.06157404","4.41569525","113.5088715","14.98287278","0.301212265","36.37443528","235.8571923","19.37159133","20.66291524","19.24898632","72.94998","452.1466378","55.35616129","13.43860345","119.0494632","37.47474315","0.521461583","59.08258013","10.94673455","74.78905513","192.9544377","65.10325946","16.00700824","12.26050084","125.9445644","6.35092631","3.796978028","2.96743823","16.64732847","297.7687714","9.723815097","39.00291322","17.00337234","30.95776462","73.3249145","30.5217506","95.08018402","5.540529322","8.902094171","8.213019936","5.267202858","132.1769463","7.546394228","122.0688922","22.49734259","66.49418494","4.682147743","39.41315583","233.5361886","131.6164765","75.21817265","54.6594559","141.6042799","1.436584584","70.98829987","56.13896404","2.960038471","16.44232464","5.920039269","6.283550452","286.396349","86.00741339","19.80070886"
