"","Cheese","Yoghurt","Total Milk","Fruits","Refined Grains","Whole Grains","Nuts And Seeds","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Total Salt","Added Sugars","Non-Starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans And Legumes","Sugar-sweetened Beverages","Fruit Juices","Coffee"
"Angola",0.034395616,0.274342009,0.685970575,0.903043361,78.13796927,0.354497517,0.051369863,6.311783772,0.448734134,96.2449316,0.001662088,7.74524e-06,0.100283399,0.098443042,0.522990441,0.16426737,0.507194532,0.121694695,0.033086014,0.013749223,0.034835249
"Benin",0.003224589,0.046803001,1.159472388,0.657315383,51.4559764,0.199344208,0.145753425,4.026258091,0.256738095,101.884762,0.007063875,0.000107327,0.073273579,0.04822475,0.76916044,0.003874883,2.214357355,0.145673263,0.048060239,0.008226127,0.002402431
"Burkina.Faso",0.008598904,0.176852082,1.746290875,0.064145299,26.54672334,0.757364421,0.241506849,1.413536004,0.376585684,53.70099368,0.000138507,0.00023457,0.084429899,0.041010023,0.205716937,0.017160197,0.068225622,0.264457265,0.097168221,0.009072605,0.019219448
"Central.African.Republic",0.001074863,0.095977573,1.507516456,0.636026379,23.76497018,1.224722991,0.205205479,6.378927442,0.963918433,45.48645812,0.000138507,4.86844e-05,0.082462957,0.042386517,0.66409293,0.001799053,1.363958883,0.129595148,0.008523528,0.001858569,0.118920332
"Cote.d.Ivoire",0.004299452,0.011095898,0.114328429,0.135526076,57.90042202,0.149845133,0.069041096,0.29243707,0.506662788,149.4555052,0.001385074,0.000191418,0.121827506,0.06066066,0.544390525,0.009272042,3.556450826,0.030354372,0.010953158,0.007997215,0.004204254
"Cameroon",0.001074863,1.698615451,0.909568654,0.891772712,38.77417621,0.714132441,0.186712329,1.891056358,0.297719201,106.2985423,0.023130729,4.86844e-05,0.088681095,0.052021974,1.983580693,0.087876815,1.092578671,0.315740907,0.037243004,0.005251837,0.029429779
"Congo",0.007524041,0.038104573,0.113316673,0.481437601,82.86172755,0.37404487,0.040547945,2.056921659,1.284960893,177.4094472,0.001523581,3.98327e-05,0.066135519,0.067210872,0.54535698,0.020066359,0.232216214,0.038670638,0.033544756,0.002716228,0.040240718
"Djibouti",0.019347534,0.060210025,2.135816939,0.414091994,28.02241862,0.547556151,0.006849315,1.384062166,0.519788771,27.64742939,0.001385074,0.000279935,0.073541817,0.192424346,1.130062502,0.225988723,0,0.183235065,0.001478167,0.002030679,0.019820055
"Algeria",0.047293973,0.029974025,7.021586715,1.406883116,39.44821839,0.95529875,0.025890411,3.262783827,0.469284168,24.8275142,0.002354625,0.000742437,0.089761413,0.143107894,2.706075143,0.928588079,0,0.101597052,0.002707141,0.007457941,0.165767735
"Egypt",0.155855137,0.110931823,3.127337829,1.908774857,41.54390068,0.973862185,0.023287671,4.870113504,0.846389902,330.901414,0.007209208,0.000350749,0.085447423,0.128678442,2.27365538,0.434125306,0.040547885,0.06902501,0.000736252,0.007546608,0.016817017
