"","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aruba"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","15.39636","14.98745","17.13384","17.51090","15.54831","13.17595","13.05407","13.24162","14.89221","15.59651","16.29746","17.65586","17.47955","16.18235","13.04304","11.54606","12.36645","10.07606","10.74966","10.79950","12.46882","12.71382","12.39482","11.35817","11.37204"," 0.00000"," 0.00000"," 0.00000"," 0.00000"
"Africa.Eastern.and.Southern"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","27.10528","28.68336","27.67440","24.95503","26.61093","28.02916","28.11408","27.91425","27.85545","26.74801","29.04857","27.86496","27.97702","27.49615","27.48899","26.51596","25.91297","25.74314","26.74151","26.78680","27.38598","26.64362","26.93554","27.87368","27.97215","29.15801","30.59717","26.69912","27.64216","28.77471","28.55661","27.84309","27.18443","25.21610","25.03128","26.28548","27.85973","26.42175","25.43424","26.07527","26.92192","25.12790"
"Afghanistan"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","23.81013","22.71086","26.22679","26.81210","28.21077","26.88224","26.91563","21.89712","21.15142","22.74025","21.15781","20.44461","21.22966","22.12404","10.46681","10.05187","13.38725","14.05811","12.95260","14.27366","16.05037","13.52310"
"Africa.Western.and.Central"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","38.20278","33.88223","31.49107","27.61989","28.86454","30.89670","30.24941","29.12467","30.82108","32.26814","32.72542","32.17745","30.81747","31.51976","35.76733","36.41319","34.94445","29.30850","27.90071","31.86124","27.82760","25.13455","27.20294","28.98639","29.38784","27.98351","26.85303","27.90516","24.41127","27.14270","30.11515","29.49024","28.55249","27.17059","22.90852","21.40611","24.28212","26.68110","27.54074","27.25613","29.53828","30.33563","30.15245"
"Angola"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","60.28518","67.82068","60.75774","55.15729","72.71737","72.12295","64.88381","56.07580","53.11700","54.62993","60.40199","58.10933","61.88354","60.25482","44.05637","52.36844","56.02651","56.91822","53.36285","46.20333","41.93309","42.64357","42.16795","47.93154","49.76092","45.67824","47.52441","45.18005","45.26292"
"Albania"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","17.37384","18.10977","15.34684","16.53674","19.39569","21.73577","23.10637","24.05561","24.66556","25.08161","25.30803","25.34033","25.16101","24.41378","24.93746","24.48448","22.91855","23.06132","21.50885","21.76368","21.14197","20.35841","23.75359","22.96553","23.46872","22.43412","23.02506","23.01847"
"Andorra"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000","14.843755","14.924018","15.067289","15.494937","15.780354","16.035783","16.167295","15.473531","15.432767","14.766489","13.125646","11.908853","11.071580","10.618247","10.153531"," 9.981269","10.140779","10.395518","11.076334","11.699818","12.660158","12.362636","11.145341","12.428226"
"Arab.World"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","55.81248","57.41995","55.69007","51.95554","57.79642","63.36056","61.33314","52.60890","45.12119","43.03656","39.90019","34.74137","35.91905","36.38083","38.33657","57.74271","40.17004","43.42452","40.56260","40.34039","42.64255","43.91585","44.65832","39.87459","43.77101","50.00933","46.75397","46.80016","47.40754","49.61934","53.42215","54.63508","53.42646","56.15313","47.72201","50.23253","53.61344","54.39576","52.23548","49.73037","40.56329","38.24858","40.90736","44.67255","42.62135","36.79690","42.33188","48.72369","43.53403"
"United.Arab.Emirates"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","73.99551","71.81472","67.98171","68.05880","71.35555","72.66361","68.36331","63.15205","61.40418","62.81071","61.25215","52.15437","54.68110","53.01424","55.07693","58.90235","46.77830","55.29802","51.47992","46.26038","45.54517","46.36700","45.42841","40.02353","42.02066","48.51701","49.67634","47.54575","49.12101","51.67835","55.64348","57.90311","54.84023","58.01798","52.04496","51.67846","57.07712","56.56806","54.20381","51.98971","43.35424","41.02857","42.52803","46.91896","44.52452","42.17404","47.13932","51.08333","47.72364"
"Argentina"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","48.41448","49.60581","47.38341","47.03607","47.38613","42.27879","45.95473","45.58165","43.35224","43.59280","50.14132","50.89370","47.80613","46.09765","44.02812","41.21967","40.33823","41.10285","41.55631","39.70819","39.27615","37.38043","37.82868","38.48661","42.34781","36.02188","32.72253","30.68395","27.33874","26.75456","26.30121","26.59256","27.17915","26.71214","26.19363","25.99084","25.24343","30.55774","32.64510","28.81692","28.62631","29.20328","27.41524","26.27246","25.28420","25.25878","25.21270","24.42906","24.00588","24.27739","23.15306","22.05411","21.78212","23.71959","23.15785","22.40888","23.49946","24.00755","25.05638"
