"","x"
"Africa.Eastern.and.Southern",27.85973207421
"Afghanistan",13.3872469597976
"Africa.Western.and.Central",26.681098921084
"Angola",47.9315418514046
"Albania",23.7535862152793
"Andorra",11.0763337210625
"Arab.World",44.6725476603485
"United.Arab.Emirates",46.9189575898931
"Argentina",23.7195923321304
"Armenia",24.7565578476257
"Antigua.and.Barbuda",20.6520988023085
"Australia",24.1240577727471
"Austria",25.7190926354333
"Azerbaijan",52.250536882585
"Burundi",11.1072170298745
"Belgium",18.9641251486969
"Benin",14.6419567509163
"Burkina.Faso",25.5894433780973
"Bangladesh",31.9828135899766
"Bulgaria",22.1871470437128
"Bahrain",41.4758871750475
"Bahamas..The",12.4534314114047
"Bosnia.and.Herzegovina",23.7113591895767
"Belarus",31.265533028123
"Belize",13.6640139539954
"Bermuda",5.7012359712742
"Bolivia",26.2465894695308
"Brazil",18.7490514525621
"Barbados",13.5322840151688
"Brunei.Darussalam",63.244818370328
"Bhutan",35.2652134465773
"Botswana",34.8003276690785
"Central.African.Republic",20.5557559569889
"Canada",24.6223059554353
"Central.Europe.and.the.Baltics",27.7962551964971
"Switzerland",24.4239571771375
"Channel.Islands",7.92367534573223
"Chile",27.8615227738238
"China",39.6870118233885
"Cote.d.Ivoire",19.1116818893978
"Cameroon",24.6822312095632
"Congo..Dem..Rep.",65.8764295078008
"Congo",54.391991835456
"Colombia",26.8954667535946
"Comoros",8.87679586458954
"Cabo.Verde",14.6286899740782
"Costa.Rica",19.5581432647296
"Caribbean.small.states",17.8566129809763
"Cuba",24.8779064616327
"Curacao",14.4127504348654
"Cayman.Islands",7.41439077440039
"Cyprus",12.0224270287232
"Czechia",31.2449402120943
"Germany",25.9385391984565
"Djibouti",13.9916053923181
"Dominica",16.1501588912329
"Denmark",20.5755636281273
"Dominican.Republic",28.8112847763176
"Algeria",35.3432586054084
"East.Asia...Pacific..excluding.high.income.",39.2171199891094
"Early.demographic.dividend",32.9537180872597
"East.Asia...Pacific",35.1877381238313
"Europe...Central.Asia..excluding.high.income.",30.034402746745
"Europe...Central.Asia",23.1805450198827
"Ecuador",28.0147495283775
"Egypt",35.32987502651
"Euro.area",21.6728374765412
"Eritrea",0
"Spain",19.7385743840512
"Estonia",23.288660554967
"Ethiopia",27.3057021409277
"European.Union",22.2273891679074
"Finland",24.1107349992454
"Fiji",15.5373186382605
"France",16.725283255726
"Faroe.Islands",17.8879353159704
"Micronesia..Fed..Sts.",4.86645408163265
"Gabon",47.1270856238547
"United.Kingdom",17.9003523665802
"Georgia",20.9042764578834
"Ghana",31.1777436281076
"Guinea",33.3410014345781
"The.Gambia",17.3104257988738
"Guinea.Bissau",16.3705721944585
"Equatorial.Guinea",57.2950816179221
"Greece",13.6804076386379
"Grenada",13.4331770166911
"Greenland",18.2130067733894
"Guatemala",21.426432384342
"Guyana",26.2597639752552
"High.income",23.1286906359728
"Hong.Kong.SAR..China",6.47887850480474
"Honduras",26.5924587973715
"Heavily.indebted.poor.countries..HIPC.",27.6875900384113
"Croatia",19.2899088316712
"Haiti",24.1385210331551
"Hungary",25.0848220572613
"IBRD.only",34.9254802395444
"IDA...IBRD.total",34.3157427349852
"IDA.total",26.4811051040171
"IDA.blend",23.4653928007408
"Indonesia",39.7297374523848
"IDA.only",28.8898172213763
"Isle.of.Man",8.02155779521804
"India",26.4120919013735
"Ireland",36.8782374335931
"Iran..Islamic.Rep.",37.3527826815851
"Iraq",54.1699427538136
"Iceland",19.8218480286442
"Israel",18.8789371636705
"Italy",20.9865490224579
"Jamaica",20.3485409552147
"Jordan",24.077832929113
"Japan",29.0140076866127
"Kazakhstan",33.4962004017876
"Kenya",17.313146131064
"Kyrgyz.Republic",27.4785136821163
"Cambodia",36.8714237524226
"Kiribati",11.0818130363672
"St..Kitts.and.Nevis",24.5506901344489
"South.Korea",34.0458023068892
"Kuwait",60.127653727139
"Latin.America...Caribbean..excluding.high.income.",24.7224416617889
"Laos",31.533192488879
"Lebanon",13.8056023781184
"Liberia",16.9238649522893
"Libya",49.676758007488
"Saint.Lucia",9.85874995507314
"Latin.America...Caribbean",29.1127034893482
"Least.developed.countries..UN.classification",30.9289555048749
"Low.income",28.8701497985999
"Liechtenstein",41.7550346850839
"Sri.Lanka",30.056819524642
"Lower.middle.income",27.6114539036
"Low...middle.income",33.9901354321355
"Lesotho",31.139042579725
"Late.demographic.dividend",36.284405957036
"Lithuania",25.5788787201366
"Luxembourg",10.9806523373367
"Latvia",19.3453568005874
"Macao.SAR..China",4.09066117205018
"Morocco",25.2413538068182
"Monaco",13.1470370674776
"Moldova",22.1479763600006
"Madagascar",21.4819574714216
"Maldives",13.0536487046675
"Middle.East...North.Africa",41.3972447504561
"Mexico",32.0438654544068
"Marshall.Islands",12.1986818181818
"Middle.income",34.0650512558145
"North.Macedonia",24.0504298826712
"Mali",20.7455355989539
"Malta",11.5158115860279
"Myanmar",36.9634615021809
"Middle.East...North.Africa..excluding.high.income.",36.5662586350693
"Montenegro",15.9341257910459
"Mongolia",37.975670332755
"Mozambique",25.3339200589579
"Mauritania",23.6350387192204
"Mauritius",17.5995456427096
"Malawi",18.3907940135861
"Malaysia",38.2914391724977
"North.America",18.9856952276001
"Namibia",26.869904619845
"New.Caledonia",0
"Niger",19.6976779523853
"Nigeria",25.7333065832929
"Nicaragua",24.9951336778689
"Netherlands",17.3241048530815
"Norway",32.6446122707692
"Nepal",13.2006396345706
"New.Zealand",20.3218441861301
"OECD.members",22.1692284643657
"Oman",53.893531150523
"Other.small.states",25.8975147578042
"Pakistan",18.5890515927482
"Panama",28.3264606122134
"Peru",31.6240835005495
"Philippines",30.5637401551561
"Palau",8.93695046841876
"Papua.New.Guinea",36.9240450738372
"Poland",28.8614617242515
"Pre.demographic.dividend",32.3715253580447
"Puerto.Rico",50.6557670954584
"Portugal",19.3820435381975
"Paraguay",33.5561752136371
"West.Bank.and.Gaza",19.2841256773528
"Pacific.island.small.states",14.1649233869863
"Post.demographic.dividend",21.4744051138522
"French.Polynesia",10.2875467388464
"Qatar",60.3815234948425
"Romania",28.9118660009172
"Russia",32.5542980530841
"Rwanda",17.3499797528636
"South.Asia",26.0235047634252
"Saudi.Arabia",49.1340096620488
"Sudan",20.7757619010592
"Senegal",24.0134453886227
"Singapore",25.3939316090861
"Solomon.Islands",17.6016377236886
"Sierra.Leone",17.510686344572
"El.Salvador",25.0755067570813
"San.Marino",36.2169203250722
"Somalia",0
"Serbia",25.9062104044071
"Sub.Saharan.Africa..excluding.high.income.",27.3659328570052
"South.Sudan",0
"Sub.Saharan.Africa",27.3503652752298
"Small.states",24.1727477325974
"Sao.Tome.and.Principe",8.38826200521501
"Suriname",36.7622415479102
"Slovakia",28.5930165310765
"Slovenia",28.0718729650095
"Sweden",22.1851163555491
"Eswatini",34.2884918438329
"Sint.Maarten..Dutch.part.",6.53037877010542
"Seychelles",11.8099756005606
"Syria",18.4959516128679
"Turks.and.Caicos.Islands",0
"Chad",31.4687615533908
"East.Asia...Pacific..IDA...IBRD.countries.",39.2102328620172
"Europe...Central.Asia..IDA...IBRD.countries.",30.5287780386341
"Togo",21.0296076221699
"Thailand",34.7424896675041
"Tajikistan",34.3983608033865
"Turkmenistan",44.9063982786535
"Latin.America...the.Caribbean..IDA...IBRD.countries.",28.9173641927428
"Timor.Leste",16.4990219080011
"Middle.East...North.Africa..IDA...IBRD.countries.",36.7570450261091
"Tonga",15.3387532202986
"South.Asia..IDA...IBRD.",26.0235047634252
"Sub.Saharan.Africa..IDA...IBRD.countries.",27.3503652752298
"Trinidad.and.Tobago",38.5515544293264
"Tunisia",23.6862252235906
"Turkey",29.4385975286566
"Tuvalu",0
"Tanzania",27.0077655110967
"Uganda",26.2360116484378
"Ukraine",23.2933329813033
"Upper.middle.income",35.7199045088275
"Uruguay",18.3333889739776
"United.States",18.5195461519261
"Uzbekistan",28.6428986359695
"St..Vincent.and.the.Grenadines",14.5575849461195
"Vietnam",36.5424334086447
"Vanuatu",10.0295717064264
"World",27.133241229402
"Samoa",11.7204111149327
"Kosovo",27.9083585287373
"Yemen..Rep.",25.4429978433173
"South.Africa",23.5370608392744
"Zambia",34.4853215849232
"Zimbabwe",31.0378976983886
