"","Alzheimer.s.Diagnosis","Cheese","Yoghurt","Total Milk","Fruits","Refined Grains","Whole Grains","Nuts And Seeds","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Total Salt","Added Sugars","Non-Starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans And Legumes","Sugar-sweetened Beverages","Fruit Juices","Coffee"
"Argentina",0.402037,0.074165548,0.284262265,16.35908294,1.107723913,9.804294505,0.08424266,0.005890411,10.7282088,3.423322764,12.70046139,0.037180997,0.001778086,0.003133815,0.215302623,0.976948353,0.518404015,0.099501465,0.039779473,0.039021335,0.001217957,0.000214507
"Australia",0.4026934,0.533132055,0.353704165,22.2019739,0.992095403,6.531301468,0.436957493,0.105753425,12.2607607,3.266437458,11.0812695,0.121197933,0.00092611,0.002153675,0.198167648,1.2561159,0.640186059,0.033351673,0.029661349,0.057976982,0.009072605,0.001289688
"Brazil",0.4858036,0.059117466,0.083559086,14.31634755,1.769491898,18.45721018,0.045386761,0.04369863,16.50633514,2.349048752,15.73206559,0.010457199,0.001341034,0.047441802,0.201822476,0.717800238,0.258094898,0.02214219,0.187670407,0.037095754,0.028159358,0.001604827
"Canada",0.3414174,0.994248288,0.05994805,16.83258475,1.33884179,7.084242928,0.442340824,0.101917808,14.3388351,2.062345734,14.95963448,0.107110597,0.001660801,0.026216577,0.267941646,1.424141076,1.075418474,0.025740295,0.173532755,0.041722812,0.007457941,0.001819333
"China",0.3864143,0.024721849,0.517414905,2.273415756,1.338980934,41.04674625,0.020124705,0.126438356,1.236322357,2.173017803,206.8885275,0.206331812,0.002188584,0.01618014,0.033510505,5.318266046,0.608079884,0.292968847,0.087043586,0.020643362,0.000782723,1.85376e-05
"France",0.4005391,1.297359658,0.331499924,18.29861921,1.149049626,7.593090459,0.35243625,0.070547945,15.02585384,1.745268971,10.6160226,0.134079333,0.001314478,0.001608243,0.041855769,1.389762877,0.680595555,0.005950713,0.025641821,0.04325195,0.006843136,0.001385024
"Germany",0.4108222,1.379049247,0.105426156,17.31316886,1.083512889,5.547134614,0.359597321,0.070410959,20.80680272,1.209038948,10.40129622,0.020828546,0.001461638,0.000401678,0.047691844,1.258739137,0.814970968,0.000830332,0.024810194,0.057051045,0.005633499,0.00159953
"India",0.5033414,0.355779658,0.013104784,7.603346421,1.11454196,32.11962346,0.345657883,0.049726027,0.797921887,0.112638281,24.09476382,0.006584104,0.000365133,0.032132432,0.08271851,1.24438037,0.360225748,0.011901427,0.217054548,0.001121368,0.008063828,0
"Japan",0.3393762,0.065566644,0.21985997,4.814946855,0.465853493,26.82267288,0.011462187,0.030958904,3.043430576,1.520460296,113.5088715,0.204887682,0.002195223,0.003108369,0.122650348,1.331913617,0.255880679,0.066426569,0.130703984,0.019952418,0.006811723,0.000950714
"Mexico",0.4847137,0.034395616,0.376534866,9.283873155,1.615320551,9.644286504,0.10596195,0.04890411,8.913740506,1.894676271,37.47474315,0.052614421,0.002219565,0.00623669,0.050086684,1.083948773,0.209797247,0.004705215,0.145396054,0.03584979,0.003681925,0.000140356
"Norway",0.3497032,1.069488699,1.134648808,17.37286246,1.08754806,3.262553317,1.067434825,0.05109589,7.876393686,1.870134404,6.35092631,0.154580603,0.001322224,0.071659935,0.202771783,0.99517294,0.720728273,0.006781046,0.140129086,0.040340924,0.002007282,0.002216568
"Russia",0.5044997,0.547105274,0.512898951,13.96425646,0.873684016,4.714617696,1.292272168,0.029315068,8.024068951,2.08226084,17.00337234,0.02495919,0.001827877,0.072780232,0.123148949,1.439604363,1.313170236,0,0.03562134,0.038534276,0.011939492,0.000381345
"Saudi.Arabia",0.4142545,0.391250137,0.55148144,4.105705892,1.05290125,22.60680262,0.091770285,0.030684932,12.86801701,0.629242942,30.5217506,0.009782329,0.000867467,0.04213308,0.150892204,0.886653804,0.222390617,0.046083432,0.075816627,0,0.000352326,0.000474033
"South.Africa",0.4952128,0.059117466,0.025501332,4.66925399,0.325457384,15.79545685,1.458539804,0.014931507,7.322204457,1.743584172,5.267202858,0.006648353,0.000649494,0.106353787,0.189434032,0.536935012,0.457789771,0.017990529,0.020374852,0.036840898,0.005348134,0.061261989
"South.Korea",0.4158628,0.252592808,0.003790973,1.065379079,0.730226742,29.23564634,0.036626701,0.104246575,1.44138723,2.732666361,132.1769463,0.273982277,0.001420699,0.056209613,0.23666201,2.84193116,0.166896755,0.059783912,0.088429631,0.040941253,0.000981197,0.000566721
"Spain",0.3999459,0.325683493,0.039714434,15.71459436,1.455026876,7.548112531,0.254215765,0.185753425,18.58328172,2.363550146,7.546394228,0.196729182,0.001582242,0.031608059,0.036343321,1.670587205,0.824934954,0.008995265,0.089399862,0.06258705,0.013470701,0.001008975
"Sweden",0.3420981,1.765999932,0.591759544,17.89695207,0.815800189,4.61211416,0.671254578,0.050273973,10.40592971,1.677666823,22.49734259,0.115629903,0.001594414,0.082098564,0.087853533,1.177280752,0.730830647,0.005535547,0.027998096,0.044673482,0.006135337,0.002674711
