Figure S5a,,,,,,,,,,,,,,,,,,,,Figure S5b,,,,,,,,,,,,,,,,,,
2018 UB,Fruits,Non-starchy Vegetables,Potatoes,Other Starchy Vegetables,Beans and Legumes,Nuts and Seeds,Refined Grains,Whole Grains,Total Processed Meats,Unprocessed Red Meats,Fish,Shellfish,Eggs,Cheese,Yoghurt,Sugars,Milk,Salt,,2018 LB,Fruits,Non-starchy Vegetables,Potatoes,Other Starchy Vegetables,Beans and Legumes,Nuts and Seeds,Refined Grains,Whole Grains,Total Processed Meats,Unprocessed Red Meats,Fish,Shellfish,Eggs,Cheese,Yoghurt,Sugars,Milk,Salt
Albania,579.9466519,1024.129709,352.9464283,0,19.52231424,52.62445169,441.0751975,146.4272671,111.0455048,73.43142763,23.90590551,8.316719077,51.80010128,6.714533458,437.1672939,101.8361834,1075.100164,8.042544293,,Albania,398.7628052,692.2815298,42.68033601,0,10.97654518,3.29587916,265.7362786,6.751318384,16.83806519,50.3275055,12.96657759,4.510993452,33.63764449,3.197493615,30.1181842,87.5459815,700.4226277,8.017870577
Algeria,282.0897938,557.5243724,521.4494349,0,91.96013668,22.05170674,1182.33725,751.8363738,29.56213705,55.96863601,26.19753498,1.099649616,36.35056031,3.841580128,24.02956922,209.0219092,302.8180453,12.27992766,,Algeria,260.0047245,496.5960794,60.54805603,0,5.160556675,1.378240238,141.0934509,42.03257083,13.53828481,24.640914,4.970109691,0.208621888,9.480527902,0.318332243,1.652855959,20.05428196,120.8880596,4.107170734
Angola,214.7460359,126.1635611,89.09983207,142.7399211,32.09848672,43.27668724,996.1055391,335.1483325,67.3698861,44.54990704,58.55268588,0.447536453,0.237926974,1.271390951,218.583647,57.67565384,22.9978833,13.64158898,,Angola,147.6562222,85.28285261,10.77447019,71.25640687,18.04757803,2.71042694,600.1275532,15.45267588,10.21543858,30.53305327,31.75901219,0.242744042,0.154503616,0.605442578,15.0590921,49.58229536,14.98301125,4.614210032
Antigua and Barbuda,523.3048182,277.5127401,115.8753279,125.6910102,36.77466885,23.01473086,611.4537437,98.91690675,336.904712,130.8980119,275.7164128,93.78109279,16.88295518,40.19168622,76.97967679,209.3901119,247.6046955,6.954468697,,Antigua and Barbuda,242.1599882,140.6186409,9.802037439,6.029671559,2.00017049,1.308724234,70.4105753,3.540223135,25.88714801,72.68103785,49.06641812,16.68925786,4.392484203,2.45624271,5.144234205,80.13848936,62.5121638,6.197547234
Argentina,254.5868956,224.46068,130.1343716,28.18770469,10.72501873,1.60014416,394.8803931,22.37367647,82.18235193,342.3386404,16.09297987,9.648667137,53.03994109,2.234286647,75.34458432,137.4555635,574.3371323,4.149102469,,Argentina,186.8702915,166.7676221,80.93622956,13.63064598,5.72651962,0.871406438,262.8392574,12.65212416,52.65967383,231.748776,9.603952918,5.758122214,36.47720506,1.601176127,42.78491648,111.3139127,343.6476878,4.140993237
Australia,239.2701671,298.2449246,441.3407942,37.4381049,8.327687391,26.71687037,470.1163237,105.1498836,93.01234609,318.6606184,59.4344315,29.21410262,47.86115672,43.78571013,315.2195449,189.6379272,747.9678894,6.863790987,,Australia,158.9016032,208.6692718,40.81680964,1.410851345,4.141572133,16.58327419,50.60636272,72.00775447,60.61156278,224.5880133,39.85743016,19.59132148,11.42310723,3.466748596,18.56870491,58.42619232,484.0053947,6.800868091
Austria,305.799797,274.7423111,183.1526061,3.799048964,13.53608525,27.4400405,228.9287673,196.696072,170.3495749,206.4652107,41.90220229,8.911492674,77.81093811,114.3659116,356.5817023,193.7940058,616.4539724,7.920602658,,Austria,226.6469938,215.6635456,133.0346353,0.172591998,5.514591221,17.3290671,89.78239566,137.7680742,42.76072351,135.6566094,23.57934982,5.014705474,20.43946872,10.37829219,25.217175,69.87935801,414.0008179,7.862830631
Bangladesh,93.97787921,111.4127406,187.8373614,7.725475075,23.79508952,3.923932209,372.1512252,5.520080931,0.89102214,14.60661234,76.87517034,4.256828546,11.7118037,0.877740847,6.210714993,142.2223182,54.6227965,10.41431089,,Bangladesh,74.60785376,94.13376197,109.695728,5.235946684,17.7969297,2.132480647,272.5927694,2.272903809,0.366535955,11.41025195,58.22474439,3.224093721,8.550135088,0.30389581,3.17101603,3.675872533,42.12834766,10.24339539
Barbados,249.3864052,231.89591,355.4565063,122.0289645,26.77472151,18.40161762,501.0179073,98.05646442,52.65616531,233.7790772,267.2475017,18.93669922,43.38727399,29.10733148,99.87410603,217.2648481,89.00435713,6.169569582,,Barbados,164.8941868,162.169195,29.75576387,5.732823886,10.34534029,7.398482493,61.5340917,53.72531415,22.49485926,129.1487587,47.76539667,3.384574015,12.43506413,1.740077647,6.553904853,110.7953031,43.17437097,5.992679683
Belgium,383.6214585,348.1563036,274.2483873,19.67751759,11.59426541,9.792869931,258.6547347,211.6742338,77.44495866,153.8299754,64.62858806,13.38199953,35.46260879,96.37028729,74.98747579,228.5695853,639.418227,6.976379877,,Belgium,293.0764253,266.6431675,199.7810186,0.724270521,5.144129134,6.533879612,100.4667893,124.4697733,51.53596785,104.8421813,41.76746368,8.648373671,14.28935487,43.94334982,19.65871265,107.6684468,397.8023196,6.900221797
