Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","107","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","220001","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day)","2018","2018","kcal/cap/d","2265","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","22000","Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average)","20172019","2017-2019","kcal/cap/d","2267","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21012","Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)","20172019","2017-2019","%","70","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","63.1","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20172019","2017-2019","g/cap/d","11.1","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2018","2018","Int$/cap","2906.8","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","22.6","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210011","Number of people undernourished (million) (3-year average)","20172019","2017-2019","million No","8.3","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","17.3","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","15.2","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401","Prevalence of severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","19.4","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","14.1","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","12.1","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401M","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","16.1","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","20.4","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","18.2","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210401F","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","22.6","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","57.6","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","54","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210091","Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average)","20172019","2017-2019","%","61.1","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","52.4","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","48.9","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210091M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average)","20172019","2017-2019","%","55.9","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","62.8","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61211","Confidence interval: Lower bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","59.1","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61212","Confidence interval: Upper bound","210091F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average)","20172019","2017-2019","%","66.4","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","6.3","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61321","Confidence interval: Lower bound","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","5.6","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61322","Confidence interval: Upper bound","210071","Number of severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","7.1","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","1.4","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61321","Confidence interval: Lower bound","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","1.2","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61322","Confidence interval: Upper bound","210071M","Number of severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","1.6","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","2.1","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61321","Confidence interval: Lower bound","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","1.9","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61322","Confidence interval: Upper bound","210071F","Number of severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","2.3","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","21.1","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61321","Confidence interval: Lower bound","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","19.8","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61322","Confidence interval: Upper bound","210081","Number of moderately or severely food insecure people (million) (3-year average)","20172019","2017-2019","million No","22.4","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","5.3","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61321","Confidence interval: Lower bound","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","5","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61322","Confidence interval: Upper bound","210081M","Number of moderately or severely food insecure male adults (million) (3-year average)","20172019","2017-2019","million No","5.7","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","6.4","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61321","Confidence interval: Lower bound","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","6","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","61322","Confidence interval: Upper bound","210081F","Number of moderately or severely food insecure female adults (million) (3-year average)","20172019","2017-2019","million No","6.7","A","Official figure"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20172019","2017-2019","%","43.1","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21034","Percent of arable land equipped for irrigation (percent) (3-year average)","20172019","2017-2019","%","4.9","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21033","Value of food imports in total merchandise exports (percent) (3-year average)","20172019","2017-2019","%","323","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","","-2.75","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2018","2018","kcal/cap/d","27","E","Estimated value"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (percent)","2018","2018","%","27","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2018","2018","%","71","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2018","2018","%","49","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2018","2018","%","5.1","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6132","Value","210260","Number of children under 5 years affected by wasting (million)","2018","2018","million No","0.3","X","Figure from international organizations"
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","37.2","X","Figure from international organizations"
