"","Cheese","Yoghurt","Total Milk","Fruits","Refined Grains","Whole Grains","Nuts And Seeds","Total Processed Meats","Unprocessed Red Meats","Fish","Shellfish","Eggs","Total Salt","Added Sugars","Non-Starchy Vegetables","Potatoes","Other Starchy Vegetables","Beans And Legumes","Sugar-sweetened Beverages","Fruit Juices","Coffee"
"Antigua.and.Barbuda",0.369752877,0.093606002,4.503326004,1.813461344,6.794803072,0.08828286,0.025479452,18.55789337,1.183361345,105.8223521,0.213075635,0.000341897,0.035484068,0.243686875,0.995587135,0.161222818,0.128563089,0.039779473,0.026437096,0.008226127,0.000225099
"Barbados",0.265491164,0.12042005,2.288592096,1.029107657,7.85492901,0.374958374,0.058630137,5.614129977,2.108403648,103.0456723,0.043223915,0.000967049,0.033412907,0.287829609,0.975153507,0.495154716,0.122197209,0.084132893,0.022047904,0.002030679,0.000421068
"Cuba",0.022572123,0.214999159,8.659619696,1.323675114,28.61410119,0.195541853,0.004246575,5.029012821,1.791386928,13.06067902,0.00928401,0.00110425,0.031116319,0.250806671,1.925179173,0.17049486,1.227369251,0.284139095,0.020082678,0.008248321,0.000286009
"Dominica",0.007524041,0.394301426,6.770671224,5.479622588,5.00021907,0.085750438,0.014520548,7.815216925,1.590386682,70.08545474,0.008979616,0.000396114,0.036266191,0.319726294,2.019339543,0.140326127,1.13797016,0.06528269,0.014402214,0.002018735,0.000834192
"Dominican.Republic",0.063416918,0.390616159,8.548326535,3.93735254,24.11661087,0.024885196,0.007671233,9.101581189,1.254480121,19.35962855,0.013088932,0.001177277,0.029004995,0.201157962,1.382307364,0.141156459,1.040821303,0.137218392,0.029195208,0.006587764,0.000556128
"Grenada",0.081689589,0.411508291,2.900704483,1.623808324,7.428680218,0.078019328,0.013150685,6.725218621,1.540052355,66.04898504,0.021307564,0.001135231,0.035990714,0.195034938,1.938295353,0.139357406,0.375448503,0.061401765,0.019431379,0.005100731,1.85376e-05
"Saint.Lucia",0.126833836,0.064173082,2.986703744,1.076555698,5.757139273,0.421113913,0.025479452,8.092459039,3.104200594,73.3249145,0.082186316,0.000424882,0.036584753,0.189386567,0.526027872,0.152089165,0.175061687,0.083024058,0.038930719,0.005481337,6.35575e-05
"Trinidad.and.Tobago",0.123609247,0.037248363,2.815716978,0.729531023,8.981119144,0.349120817,0.043424658,12.11406597,1.803654126,54.6594559,0.038049221,0.000372878,0.028991744,0.314789902,0.638274765,0.402572686,0.060752633,0.124882598,0.015489601,0.012152067,0.000195969
"Mexico",0.034395616,0.376534866,9.283873155,1.615320551,9.644286504,0.10596195,0.04890411,8.913740506,1.894676271,37.47474315,0.052614421,0.002219565,0.00623669,0.050086684,1.083948773,0.209797247,0.004705215,0.145396054,0.03584979,0.003681925,0.000140356
"Canada",0.994248288,0.05994805,16.83258475,1.33884179,7.084242928,0.442340824,0.101917808,14.3388351,2.062345734,14.95963448,0.107110597,0.001660801,0.026216577,0.267941646,1.424141076,1.075418474,0.025740295,0.173532755,0.041722812,0.007457941,0.001819333
